journal,abbreviation,issn,alternative_title
Deutsche Lebensmittelrundschau,DLR,1616-6272,Legal framework for the commercial use of outer space
DNotI-Report,DNotI-Report,1434-3460,
Der öffentliche Dienst,DöD,,
Die öffentliche Verwaltung,DÖV,0029-859X,
Deutsch-polnische Juristen-Zeitschrift,DPJZ,1615-9063,
Deutsche Rentenversicherung,DRV,0012-0618,
Deutsche Steuer-Zeitung,DStZ,"2195-8971,0724-5637",
Deutsches Ärzteblatt,Dtsch Ärztebl,,
Deutsche Verwaltungspraxis,DVP,"0945-1196,0343-9496",
Der Wohnungseigentümer,DWE,0344-8738,
Deutsche Wohnungswirtschaft,DWW,,
European company and financial law review,ECFR,,
European Criminal Law Review,ECLR,,
Entscheidungen der Finanzgerichte,EFG,"0421-2991,2195-8955",
European Law Reporter,ELR,1028-9690,European law reporter
Evangelischer Pressedienst Medien,epd medien,,
Energierecht. Zeitschrift für die gesamte Energierechtspraxis,ER,"0176-5477,2194-766X,0937-3365,1431-9004,0176-4780,0721-8214,1019-0406,1612-3093,1435-3253,2194-5829,2511-3895,2512-3947,1434-3339,2699-1012,2191-8074,2748-5765,0175-5293,2194-6833,2731-8508,1022-9450,2194-3761,2198-8765,1865-5211,0531-2442,0940-614X,0947-5729,2194-5837",Europäische Rechtsprechung
Der Erbschaft-Steuerberater,ErbStB,1610-4072,
Der Ertrag-Steuer-Berater,EStB,1437-9112,Der Ertrag-Steuerberater + Berater.Modul Ertragsteuer
Energiewirtschaftliche Tagesfragen,et,"2312-1920,0723-3418,2698-5942,2700-5410,2194-685X,0937-5562,1434-6826,0042-4013,0340-7926,1611-0404,0938-2402,1618-9582,0447-2780,0932-8335,0935-0306,1612-7684,0344-1946,2366-2069,1617-1446,1619-3431,0450-6448,1864-9351,2749-5671,1618-4726,1614-7529,2365-4627,0942-6701,1866-1823,0003-2298,0945-1277,2365-2888,0408-8115,0043-6151,0947-5885,0940-6166,1869-9340,1619-8859,2194-2455,0173-1564,0179-2830,2147-1045,0033-2992,2366-9691,2191-7884,0003-7605,2504-1444,1860-5605,2628-5274,1433-1357,0179-4116,0724-9675,1862-9954,0232-7643,0344-7731,1612-7692,1860-2347,0023-7884,1437-9112,0172-2379,0936-4773,0044-2127,0340-8329,1861-1893,1606-2949,2364-6071,2363-5606,0724-5920,0342-3557,1614-6808,0341-079X,1436-3917,2510-8166,0948-9770,0724-584X,2512-0514,1863-4192,2366-0392,1613-7345,2192-9491,2750-1078,0936-6849,1029-0656,2190-4375,1013-9486,0722-7299,1860-7292,0255-8246,0561-7758,2195-5719,0016-6162,2628-4499,2199-5230,2512-6792,2513-0099,1863-3749,0949-4111,2513-003X,2364-2270,0936-4544,1612-9245,1614-2004,1866-0150,2511-4719,1861-2903,2702-2773,2751-0670,0344-7626,0341-1109,0939-2211,0940-788X,0431-5715,0435-8392,2366-5807,1610-2835,0938-3050,1438-2288,1862-0221,2566-5316,2509-9213,1863-2335,0012-1347,1430-077X,2365-2829,1423-6982,0724-5971,2511-6320,2701-0937,2193-8288,0935-5049,2367-1416,1611-5112,1437-1634,0343-7582,0022-6920,0938-8842,2366-8377,1662-6958,2512-2665,0487-6881,1610-2452,1433-2523,1863-8430,2567-7721,0943-7525,2750-0837,0935-1922,0174-1721,0482-8801,1613-8031,1434-6117,0255-7339,1618-0151,2366-7125,0003-777X,0343-2149,0378-7125,1861-7441,1612-667X,1436-9524,0940-6158,2749-5655,1862-4529,1861-9754,0943-1802,0254-945X,1861-7425,0558-0773,0720-6933,0174-0202,1869-8727,2193-0295,0933-2723,1868-114X,0342-6394,0934-7100,0340-9503,2628-3522,1865-830X,0177-1663,2567-2436,0016-4739,1977-4842,0945-9561,2699-7010,0341-1044,0178-6679,2190-6882,1435-7372,1431-0953,0340-7918,2194-3036,2749-5485,0944-7733,1433-6928,2700-726X,1434-8330,1424-926X,1869-8735,0724-5882,1439-8214,1423-3746,1663-6546,1618-2901,1663-6635,1869-2435,0408-8492,0001-2343,1616-9131,0514-6496,1866-0495,0946-8560,0940-8738,2511-5766,2365-4562,0173-167X,0179-5155,0724-1178,2365-1296,0930-6439,1432-6426,2567-0409,0936-1081,0944-0127,2194-6833,2297-5624,0488-3888,0867-2571,2942-3988,0034-1339,0949-7110,0080-5823,0176-9049,1432-7422,0020-9503,2194-4806,1439-3735,1431-1631,0941-1836,1661-2868,0171-3205,1611-4671,0044-3638,0178-6024,1619-6244,1025-5494,1864-5607,1614-8118,0934-4136,1866-6108,0343-284X,2673-4044,2569-4081,0940-4260,0937-2040,2627-7689,2749-5647,0945-7488,0722-2351,0724-5904,1661-2612,2194-3583,2192-1253,1612-5401,1663-6600,0936-3246,1865-8172,0178-6695,1431-5521,0014-391X,0487-1057,2192-2306,1863-0626,0043-6143,0343-2831,2192-6530,1867-6375,1866-1831,1613-7833,1615-7737,0941-4460,0941-732X,2309-7558,1681-2913,1865-8164,0509-0717,2192-788X,0171-9181,0344-2195,2194-6841,1869-8743,0724-5947,1612-4251,2194-3370,0454-1391,1420-2476,2193-5769,2367-2129,1865-519X,1017-8147,2366-570X,2297-2471,2192-9785,2309-7507,0178-613X,0933-9477,2195-2760,1661-2884,1863-2319,0223-582X,0298-0665,0930-7915,2199-1065,0342-250X,1609-5146,0172-2360,1435-1390,0937-0641,2193-7869,1614-2012,0341-1389,1860-5265,2510-8158,2192-743X,1434-677X,0724-8474,0172-0406,0340-0522,1613-270X,1610-899X,1864-9769,0930-7540,1435-8751,0937-3853,2749-5663,1619-6260,2367-1556,0343-9550,0723-4139,1861-308X,2199-1723,0949-7102,0038-8858,2191-3412,0177-3992,2750-5472,2788-0818,0544-9871,0945-8719,0179-2202,0342-6645,1617-8696,2509-9191,1434-3959,2750-5863,0178-935X,1618-4157,1424-9715,0003-7621,0178-6687,2509-9078,0941-696X,2197-8573,1860-8116,0943-058X,1613-026X,0431-7092,1406-5762,2367-1548,1868-5757,2626-0670,2195-3031,1861-2385,1867-3759,2197-0599,0724-6021,2296-0074,1869-6724,2700-5402,0531-7312,2353-9666,0933-7571,2510-8212,2510-1978,0940-2802,0590-7233,0044-2410,1861-7174,2218-6271,0724-5637,2192-9564,1664-2007,1865-6277,0173-475X,0179-9819,0340-7497,2750-1086,0930-4460,1439-9474,2366-7702,2365-1318,0724-6048,1860-6423,0170-9291,0342-2496,2366-9322,2192-8517,2747-6049,1860-9260,1438-2164,0722-0871,1431-228X,1612-040X,0173-4350,0343-6918,1611-471X,2512-4285,2751-4625,1433-2132,2199-0344,0585-5845,1611-8650,0723-0109,0949-4766,0013-9513,1432-4768,1217-5048,1663-666X,0938-7145,1618-7784,2569-409X,0259-8825,1023-9073,0939-4184,1430-9955,1614-1903,0340-3289,0720-7824,0174-1349,0873-5395,0032-3519,1430-6123,2750-7289,1378-403X,1611-7050,0948-5228,1864-3922,2192-6522,1618-8845,1660-0339,2365-4635,2366-5262,0178-6709,0250-6688,0007-5906,2366-5254,2509-6214,0004-8232,0418-9604,2192-9831,1861-7972,0177-1108,1861-5716,1861-5430,1869-4039,2628-782X,2196-2596,0175-7091,1662-8705,1420-9454,2363-5614,1617-2272,2512-3947,0720-6100,0005-9323,2199-8191,0947-501X,0721-0108,1421-9158,2568-8464,0933-1123,1864-645X,1422-8181,1612-1554,2628-9121,1616-2137,2698-6175,0342-4618,2699-9838,1433-1365,2365-1326,0948-7182,1861-700X,0171-3051,0931-0983,1868-4920,0034-138X,0323-4568,0028-3231,1614-2179,0171-6077,0176-3814,1438-0897,2940-7109,0944-0097,1863-8511,2628-068X,2509-6206,1865-2719,0943-3031,2196-1700,2699-951X,2190-4006,2199-2339,2196-5714,0948-3942,2363-5738,0343-0693,1866-3850,1432-685X,0176-6759,2364-026X,2571-5690,0324-6523,0340-6881,0341-1095,1865-8091,2511-7920,0172-1895,0179-9827,0259-0727,2191-9895,0006-5250,2366-2964,2366-5726,0174-948X,1866-8585,1437-7241,2699-9358,0433-7158,1861-6607,2510-8913,1618-0909,0005-9935,0174-478X,0937-1133,1869-4047,2366-8253,1434-6354,1860-157X,1610-3270,0084-540X,2195-7738,1813-4432,1868-2065,1614-8983,2750-9702,0940-2810,1431-6633,1436-395X,0006-9094,0723-6034,0254-9441,1614-7537,2627-1427,0949-2844,1436-4417,0945-1633,2077-4737,1680-2950,1868-7857,2222-7407,2367-1408,1431-1569,1615-0996,2192-9815,1862-6203,1863-4206,2192-7456,2366-5904,2366-9659,0340-966X,2365-3450,0934-3776,0722-7000,0947-0581,0175-9450,2365-2705,0173-0592,1864-970X,0342-1988,0946-8382,0942-2390,0934-3253,1611-860X,2366-5696,1863-1827,2199-2320,1868-2057,0934-3652,2366-8369,0034-1398,2192-306X,1618-1883,0232-5993,0340-8787,1613-5458,0939-8198,0341-3888,0300-3329,1864-113X,1613-4621,2365-3469,0942-4229,1866-1491,2513-0110,1862-3336,1436-1612,0170-5024,0038-9048,0724-5963,2570-3897,1864-7278,0506-6522,0939-415X,0301-2980,2513-1702,0949-3603,0175-971X,2695-0596,2223-9499,0947-6873,2509-9205,0173-6515,0173-5705,1864-7758,1432-3796,1437-4439,0724-7672,0939-401X,1614-1997,2366-1151,1865-9144,1618-5730,0421-4714,0042-9678,2194-1998,0944-2693,2193-0465,1869-8719,1616-0061,0941-7915,0344-3698,0949-7676,0933-5781,1862-9741,2409-5621,1868-2979,2193-7451,0344-7634,0440-744X,0323-5394,1420-2395,1612-4081,1869-8700,1439-684X,2063-2525,0945-9626,2571-5704,2365-4570,1437-8000,2511-4956,2512-5125,1435-8530,1438-1265,2366-5793,0344-3876,0947-269X,2701-0929,0172-2344,1862-6181,0721-4316,1438-2695,2364-2262,1437-1197,2406-1387,2509-5285,1612-1546,1863-0561,0005-7134,0036-6234,0934-5639,0255-3430,0341-5449,0171-9343,2509-8640,1616-6086,1613-060X,1432-9549,1861-9673,1662-8217,1300-1396,2512-7373,0172-2743,1430-0400,0522-456X,2628-0698,0171-8525,0005-9951,1619-649X,1615-8636,1866-1432,2193-1089,2750-7459,2625-431X,0341-7980,2193-1321,2366-8989,1976-6084,0172-2549,0174-6103,1860-3890,2196-5021,1866-6868,0946-7793,1019-0406,1422-2019,0863-5226,2699-1969,1860-6431,1612-8214,1435-3628,1661-5212,0944-4610,0340-7012,2568-2520,1435-361X,0934-7062,1434-5374,2199-3378,2511-5995,0940-8428,1612-7676,2194-5802,2702-3389,0172-4983,1866-0185,1660-9077,2191-5075,0476-3475,0948-9509,2366-8261,0940-9114,0138-1644,0936-8035,2235-8498,0003-231X,0344-7839,2511-4638,1434-4637,1612-8095,0724-5866,2366-5890,0172-2352,1435-9065,2509-906X,2510-8174,1863-6772,2750-9710,0930-1909,1024-2643,1424-9723,1610-4064,2749-3814,2748-5390,0177-5480,2673-4710,1614-8800,1618-9574,1663-6570,2198-5146,0344-368X,0505-3269,0172-2395,1862-7617,2365-2691,0935-1558,1866-167X,1438-9517,1435-9057,1435-1382,2363-863X,0172-3391,2192-8487,1014-5567,0012-0782,0179-8464,0943-5980,0179-4051,0174-1225,0177-5359,0724-6005,1729-9101,1864-2586,1616-2145,0365-6071,1862-8427,2193-1097,1611-1982,2749-1498,0012-0774,2509-5277,0937-1125,1433-0261,0340-9031,1617-2124,0931-0053,2366-5432,2365-4694,0138-1695,1612-7803,0724-5998,2366-5718",Gesetz- und Verordnungsblatt für Berlin
EU-Umsatz Steuer-Berater,EU-UStB,1862-9210,EU-Umsatzsteuer-Berater
Zeitschrift für Europarecht,EuZ,1022-9450,
Zeitschrift des Instituts für Energie- und Wettbewerbsrecht in der Kommunalen Wirtschaft e.V.,EWeRK,,
FinanzArchiv,FA,"0936-4544,2366-066X,2512-4153,2625-2112,1434-1646,1434-4602,0342-328X,0936-028X,1433-1845,2366-2042",Forum Arbeits- und Sozialrecht
Der Familien-Rechtsberater,FamRB,1618-8349,
FamRB international,FamRB international,,
Frankfurter Allgemeine Zeitung,FAZ,,
Praxis der Freiwilligen Gerichtsbarkeit,FGPrax,0948-8790,Praxis der freiwilligen Gerichtsbarkeit
"Finanzierung, Leasing, Factoring",FLF,,
Forum Recht,FoR,0930-6420,
Forderungs-Praktiker,Forderungs-Praktiker,1869-6295,
Forum Kriminalprävention,Forum Kriminalpräv.,1618-4912,
Zeitschrift für Strafvollzug u. Straffälligenhilfe,Forum Strafvollzug,2366-7303,Forum Strafvollzug
Forderung & Vollstreckung,FoVo,1866-0584,
"Familie, Partnerschaft, Recht",FPR,0947-2045,
Forum Strafvollzug,FS,"2366-7303,1865-1534",
Die Gemeinde [Baden-Württemberg],Gemeinde [BW],,
Die Gemeinde [Schleswig-Holstein],Gemeinde [SH],,
der gemeindehaushalt,gemeindehaushalt,,
Geschichte und Gesellschaft,Geschichte und Gesellschaft,,
Gesundheitsrecht,GesR,"2194-4229,1610-1197",
Der Gesellschafter,GesRZ,0250-6440,
German law journal,GLJ,,
GmbH-Steuerpraxis,GmbH-Steuerpraxis,0932-2345,
Göttingen journal of international law,GoJIL,,
Greifswalder Halbjahresschrift für Rechtswissenschaft,GreifRecht,1864-8304,GreifRecht
Das Grundeigentum,Grundeigentum,0017-4882,
Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil,GRUR Int,"1618-9574,1618-9582,0435-8600","Gewerblicher Rechtsschutz und Urheberrecht, Internationaler Teil : GRUR Int. : mit Inhalten des Journal of intellectual property law practise / Max-Planck-Institut für Innovation und Wettbewerb"
Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,GRUR-Prax,1869-3849,Gewerblicher Rechtsschutz und Urheberrecht in der Praxis
Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report,GRUR-RR,"1616-2277,1618-9574,1618-9582",GRUR CD
Grundstücksmarkt und Grundstückswert,GuG,,
Gesundheits- und Sozialpolitik,GuS,,
Gewerbemiete und Teileigentum,GuT,,
German yearbook of international law,GYIL,"2195-7304,0344-3094",
Das Hauseigentum,Hauseigentum,1435-5361,
Hoechstrichterliche Finanzrechtsprechung,HFR,"1862-7617,0018-3059,0175-5293","Höchstrichterliche Finanzrechtsprechung des Bundesfinanzhofs, Bundesverfassungsgerichts, anderer oberster Gerichtshöfe des Bundes, des Gerichtshofs der Europäischen Union"
Herder-Korrespondenz,HK,"0945-7488,1617-4291,2510-828X,1613-2351",Heidelberger Kommentar zum Betreuungs- und Unterbringungsrecht
Hamburger Zeitschrift für Schiffahrtsrecht,HmbSchRZ,,
Hamburger Zeitschrift für Schiffahrtsrecht - International,HmbSchRZ-Int,,
HöchstRichterliche Rechtsprechung im Strafrecht,HRRS,,
Hessische Städte- und Gemeindezeitung,HSGZ,0171-9610,
Humanitäres Völkerrecht,HuV,"2569-5010,0937-5414,2625-719X,2625-7203",
Humanitäres Völkerrecht - Informationsschriften,HuV-I,"2569-5010,0937-5414",Humanitäres Völkerrecht
Historische Zeitschrift,HZ,0435-7124,Entscheidungen des Bundesgerichtshofes in Zivilsachen
Immobilien- & Baurecht,IBR,0941-5750,
Immobilien- und Baurecht,ibr,"0014-391X,0941-5750",Immobilien- & Baurecht
Vienna journal on international constitutional law,ICL-Journal,,
International review of intellectual property and competition law,IIC,"1618-9574,1618-9582",GRUR CD
International insolvency law review,IILR,,
Zeitschrift zum Immobilien-Steuerrecht,ImmoStR,"2190-8168,1612-6297",ImmoSTR
Immobilien- und Mietrecht,imr,2190-4251,
Info / Schleswig-Holsteinischer Richterverband,info,"2195-7746,1863-6772,1617-2914,0945-781X,0942-4571,0179-0161,1610-4064,0175-4041,0344-2195,0720-4841,0176-4411,1439-9059,1613-8031,2749-2885,1861-3489,0945-7690,1435-8530,1861-0315,1862-3999,1422-2019,1435-4535,0934-7380,1432-623X,1862-0469,1434-2170,1616-9131,0301-2980,0179-8863,1616-4121,0935-6010,2751-4625,1437-7594,1435-6449,0936-3254,1661-2612,2626-0670,2190-3387,2194-4164,1430-3868,1613-060X,0936-3246,0938-2143,1432-7694,2940-1755,0936-3211,0941-1585,0949-1031,1434-1212,1613-1282,0724-8067,0176-0904,0863-2278,1431-9985,0936-3238,0937-1125,2628-5274,1433-4127,0724-2905,2625-9753,2191-7884,1861-6658,1613-2416,1861-468X,0032-3543,1022-9450,1863-1312,0034-1398",Zeitschrift für Europarecht
Zeitschrift für Insolvenzverwaltung und Sanierungsberatung,InsVZ,1869-4268,
Zeitschrift für Innovations- und Technikrecht,InTeR,2569-2852,InTeR Schriftenreihe
Informationsdienst Öffentliches Dienstrecht,IÖD,1610-0468,
Ip competence,Ip competence,,
IP-Rechtsberater,IPRB,"1869-5639,2366-1178",Der IP-Rechts-Berater
"InfrastrukturRecht : Energie, Verkehr, Abfall, Wasser",IR,"0945-2435,1431-6633,0944-3487,1863-4206,2306-4900,1431-2697,1861-9754,1435-0491,1863-4192,2309-754X,0720-7646,1433-0172,1612-7803,1211-3425,1619-3741","Marken-Lexikon, Wortmarkenlexikon"
Zeitschrift für internationale Rechnungslegung,IRZ,,
Internationale Steuer-Rundschau. Zeitschrift für internationales Steuerrecht,ISR,"2194-539X,2366-116X",Internationale Steuer-Rundschau
IWB - Internationales Steuer- und Wirtschaftsrecht,IWB,0020-9368,Internationale Wirtschaftsbriefe
NWB - Internationales Steuer- und Wirtschaftsrecht,IWB,0020-9368,Internationale Wirtschaftsbriefe
JahrbuchSchweizerische Gesellschaft für Haftpflicht und Versicherungsrecht,Jahrbuch SGHVR,,
Jahresheft / Internationale Juristenvereinigung Osnabrück,Jahresheft IJVO,,
Jahrbuch Extremismus & Demokratie,Jb Extremismus&Demokratie,0938-0256,
Jahrbuch für direkte Demokratie,Jb. f. direkte Demokratie,,
Jahrbuch des Arbeitsrechts,JbArbR,1865-2719,
Jahrbuch des Föderalismus,JbFöderalismus,,
Jahrbuch für Italienisches Recht,JbItalienR,,
Juristische Blätter,JBl,"1613-7639,0022-6912",
Jahrbuch für öffentliche Finanzen,JböffFin,,
Jahrbuch Öffentliche Sicherheit,JBÖS,,
Jahrbuch des Sozialrechts,JbSR,1615-7737,
Jahrbuch des Umwelt- und Technikrechts,JbUTR,0933-6486,
Journal of European integration history,JEIH,2942-321X,
"Journal of intellectual property, information technology and electronic commerce law",JIPITEC,2190-3387,
Journal of Institutional and Theoretical Economics,JITE,,
Jahrbuch der Juristischen Zeitgeschichte,JJZG,1869-6902,
Juris: die Monatszeitschrift,jM,,
Journal der juristischen Zeitgeschichte,JoJZG,1868-8810,
Jahrbuch des öffentlichen Rechts der Gegenwart,JöR,"2569-4103,0075-2517",
Das juristische Büro,"JurBüro, JB","2366-1941,0931-6000",
JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht,JurPC,,
Juristenzeitung,JZ,"1868-7067,0022-6882",
Kommunikation & Recht,K&R,1434-6354,
Mitteilungen. Rechtsanwaltskammer Köln,KammerForum,1610-8140,Kammer-Forum
KammerMitteilungen : Informationen und offizielle Verlautbarungen der Rechtsanwaltskammer Düsseld,KammerMitteilungen,,
Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe,Kfz-Anwalt,,
Kommunal-Kassenzeitschrift,KKZ,2190-1503,
KommunalPraxis spezial,KommP spezial,1617-3759,"KommunalPraxis, Spezial"
KommunalPraxis Wahlen,KommP Wahlen,2190-9695,"KommunalPraxis, Wahlen : Fachzeitschrift für Wahlen und Abstimmungen"
Der Konzern,"Konzern, DK",1611-2296,
Zeitschrift für kapitalmarktorientierte Rechnungslegung,KoR,,
Kölner Steuerdialog,Kösdi,0172-1720,
Zeitschrift für das gesamte Kreditwesen,Kreditwesen,"0566-2745,0720-7336","Untersuchungen über das Spar-, Giro- und Kreditwesen, Abteilung A: Wirtschaftswissenschaften"
Der Kriminalist,Kriminalist,0722-3501,
Kriminologisches Journal,KrimJ,0341-1966,
Kriminalpädagogische Praxis,KrimPäd,0721-1279,
Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung,KritV,"0179-2830,2364-6071,2193-7869",Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft
"Krisen-, Sanierungs- und Insolvenzberatung",KSI,"1868-7784,1863-3889",
Kommunale Steuer-Zeitschrift,KStZ,"0450-7126,2509-2324",
Kölner Schrift zum Wirtschaftsrecht,KSzW,"2194-4199,1869-3679",
Kunst und Recht,KUR,"2363-9199,2199-5052",
Der Landkreis,Landkreis,0342-2259,
LeGes : Gesetzgebung & Evaluation; Mitteilungsblatt der Schweizerischen Gesellschaft für Gesetzgeb,LeGes,1420-2395,Gesetzgebung heute
Liechtensteinische Juristenzeitung,LJZ,1029-1776,
"LKRZ : Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland",LKRZ,1864-0192,"Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland"
Landes- und Kommunalverwaltung,LKV,0939-0014,
Lebensmittel & Recht,LMuR,1434-2626,
Medien & Recht,M & R,0257-3822,
"Zeitschrift für deutsches, europäisches und internationales Markenrecht",MarkenR,1436-9265,MarkenR
Der medizinische Sachverständige,MedSach,0025-8490,
Mitteilungen des Hamburgischen Richtervereins,MHR,,
Mieter-Magazin,Mieter-Magazin,0723-3418,
Mitteilungen des Instituts für Deutsches und Internationales Parteienrecht und Parteienforschung,MIP,"1612-8117,2192-3833",
Mitteilungen der Deutschen Patentanwälte,"Mitt., MittDtPatA",,
Mitteilungen des Landesverbandes Hessen / Deutscher Richterbund,Mitt.LV Hessen DRB,,
"Mitteilungen des Bayerischen Notarvereins, der Notarkasse und der Landesnotarkammer Bayern",MittBayNot,0941-4193,
Mietrecht kompakt,MK,1618-4157,
Multimedia und Recht,MMR,1434-596X,
Medizinprodukte-Journal,MPJ,,
MedizinProdukte-Recht : MPR,MPR,1618-9027,MedizinProdukte-Recht
Mietwagen Rechtswissen,MRW,1869-6031,
Mehrwertsteuersteuerrecht. Zeitschrift für das gesamte Mehrwertsteuersteuerrecht,MwStR,2195-1179,Mehrwertsteuerrecht
myops. Berichte aus der Welt des Rechts,myops,,
Nachrichtendienst des Deutschen Vereins für öffentliche und private Fürsorge,NDV,1430-5720,Rechtsprechungsdienst
"Neue Gesellschaft, Frankfurter Hefte",NG/FH,,
Neue juristische Online-Zeitschrift,NJOZ,2698-8887,
Neue Kriminalpolitik,NK,"2942-1624,0934-9200",
Neue Landwirtschaft - Briefe zum Agrarrecht,NL-BzAR,0947-4358,
Zeitschrift für öffentliches Recht in Norddeutschland,NordÖR,1435-2206,NordÖR
Notar,Notar,1860-8760,
Zeitschrift für das Recht der Non-Profit-Organisationen,npoR,1868-3770,npoR
NRÜ - Nomos-Rechtsprechungsübersicht,NRÜ,1865-7591,Nomos-Rechtsprechungsübersicht
NStZ-Rechtsprechungs-Report Strafrecht,NStZ-RR,"0949-2186,1435-1390,0949-7129",NStZ-Volltext-CD-ROM
NWB - Steuer- und Wirtschaftsrecht,NWB,"0939-5733,0173-1599,1868-3126,2702-7589,1431-4096,0179-1087,1868-2898,0028-3460,1868-2979,0020-9368,1868-3118,1860-9449,1868-288X","Neue Wirtschaftsbriefe, Direkt : Infodienst und Datenbank für Steuer- und Wirtschaftsrecht"
Österreichische Notariatszeitung,NZ,0029-9340,
NZA-Rechtsprechungs-Report Arbeitsrecht,NZA-RR,0949-7137,"Neue Zeitschrift für Arbeitsrecht, NZA-Rechtsprechungs-Report Arbeitsrecht : NZA-RR / hrsg. von der NStZ-Redaktion"
Neue Zeitschrift für das Recht der Insolvenz und Sanierung,NZI,1436-4778,NZI: neue Zeitschrift für Insolvenz- und Sanierungsrecht
Österreichisches Archiv für Recht und Religion,öarr,1560-8670,Österreichisches Archiv für Recht & Religion
öAT - Zeitschrift für das öffentliche Arbeits- und Tarifrecht,öAT,1869-9367,Zeitschrift für das öffentliche Arbeits- und Tarifrecht
Österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht,Öbl,0029-8921,
Österreichische Juristen-Zeitung,ÖJZ,0029-9251,Österreichische Jurist:innenzeitung
Österreichische Steuerzeitung,ÖStZ,0029-9529,
Österreichische Zeitschrift für Kartellrecht,ÖZK,"2218-6271,2309-7507",
Österreichische Zeitschrift für Soziologie,ÖZS,,
Onlinezeitschrift für Suchtstoffrecht,OzSR,2195-8882,Onlinezeitschrift für Suchtstoff-Recht
Österreichische Zeitschrift für Wirtschaftsrecht,ÖZW,0379-4407,
Der Personalrat,Personalrat,"0175-9299,0721-6963",
PflegeRecht,PflR,1433-7231,Pflegerecht
Pharma-Recht,PharmR,0172-6617,
PHi: Produkt- und Umwelthaftpflicht international,PHi,,
Privacy in Germany,PinG,"2196-9817,2197-1862",
Praxis internationale Steuerberatung,PIStB,1438-8375,
Pflege- & Krankenhausrecht,PKR,1434-1212,
Plädoyer,Plädoyer,1420-5556,
Die Polizei,Polizei,0032-3519,
Patienten- & Pflegerecht mit Qualitätsmanagement,PPRQ,1869-1676,
Praxis Steuerstrafrecht,PStR,1435-0122,
Politische Vierteljahresschrift,PVS,,
Recht und Schaden,"r + s, r+s",0343-9771,
Recht und Steuern im Gas- und Wasserfach,R + S,0343-9771,Recht und Schaden
"Recht, Bibliothek, Dokumentation",RBD,0935-2538,
Rechtder Transportwirtschaft,RdTW,1869-7100,Zeitschrift für das Recht der Transportwirtschaft
Österreichisches Recht der Wirtschaft,RdW,1013-9486,
Rechtskultur. Zeitschrift für europäische Rechtsgeschichte,Rechtskultur,2568-4469,Rechtskultur
Rescriptum. Münchner studentische Rechtszeitschrift,Rescriptum,,
Rechtsgeschichte,Rg,"1619-4993,2195-9617",
Das Recht im Amt,RiA,0034-1339,Recht im Amt
Recht der internationalen Wirtschaft,RIW,0340-7926,
Rechtspflegerblatt,RpflBl,0034-1363,
Rpfleger,Rpfleger,1612-6394,
Reise-Recht aktuell,Rra,"0944-7490,2193-9535",
RVGreport,RVGreport,1614-760X,
Österreichische Richterzeitung,RZ,"2699-8084,0341-9800,2625-1868,1864-0192,1435-9014,2367-1823,2699-2132,2367-1815,2749-9766,2365-2004,0178-9309,2750-2767,2071-7059,2309-7442,2699-948X,0044-2410,2627-3721,2218-306X,0250-6440",Zeitschrift für internationales Wirtschaftsrecht
Sammlung arbeitsrechtlicher Entscheidungen,SAE,"2199-0220,0048-9069",
Schiedsamtszeitung,SchAZtg,0945-7097,
Schleswig-Holsteinische Anzeigen / A,SchlHA,"0173-9794,1860-9643","Schleswig-holsteinische Anzeigen, Teil A"
Schweizerisches Jahrbuch für Europarecht,SchweizJahrbEuropaR,,
Sozialgerichtsbarkeit,SGb,"0943-1462,1864-8029",Die Sozialgerichtsbarkeit
Sic!,Sic!,1422-2019,
Schweizerisches Jahrbuch für Kirchenrecht,SJKR,"2235-7106,1420-9497",
Schweizerische Juristenzeitung,SJZ,0036-7613,Schweizerische Juristen-Zeitung
Soziale Sicherheit,SoSi,0038-6065,
Sozialrecht + Praxis,,0939-401X,
Schaden-Praxis,SP,"0344-0559,0943-5980,0931-5500,2625-7955,0001-2343,2363-5614,2193-3103,1660-8909,2366-0937,0341-079X,1433-8866,2699-3201,1618-0909,1019-1151",Schnellinformation für Personalmanagement und Arbeitsrecht
SpuRt. Sport und Recht,SpuRt,,
Soziales Recht,SR,"2193-5157,2942-058X",
Der Steuerberater,StB,"1432-6973,1610-4072,1610-4064,2194-0851,1617-2272,1862-9210,0340-9503,0930-2301,1439-6777,1438-8375,0947-501X,1437-9112",GmbH-Steuerberater
Die Steuerberatung,Stbg,0490-9658,
Steuerberater-Jahrbuch,StbJb,0081-5519,
Die steuerliche Betriebsprüfung,StBp,0340-9503,
SteuerConsultant,StC,1866-8690,
Steuern der Energiewirtschaft : StE,StE,"1437-1553,0254-8992,0937-1680",Steuer-Eildienst
Steuer-Eildienst : StEd,StEd,0937-1680,Steuer-Eildienst
