"id","issn_l","issn","display_name","type"
S128556326,"0097-3165","[""0097-3165"", ""1096-0899""]",Journal of Combinatorial Theory Series A,journal
S179028992,"0140-2382","[""0140-2382"", ""1743-9655""]",West European Politics,journal
S201710173,"0740-624X","[""0740-624X"", ""1872-9517""]",Government Information Quarterly,journal
S171911960,"0949-944X","[""0949-944X"", ""1432-041X""]",Development Genes and Evolution,journal
S4210182832,"0576-5544","[""0576-5544""]",Canadian Journal of Biochemistry and Physiology,journal
S105662685,"0940-1334","[""0940-1334"", ""1433-8491""]",European Archives of Psychiatry and Clinical Neuroscience,journal
S4210219814,"0263-7758","[""0263-7758"", ""1472-3433""]",Environment and Planning D Society and Space,journal
S121233926,"0193-953X","[""0193-953X"", ""1558-3147""]",Psychiatric Clinics of North America,journal
S121474569,"1752-2439","[""1752-2439"", ""1752-2447""]",Psychosis,journal
S45030768,"0016-8025","[""0016-8025"", ""1365-2478""]",Geophysical Prospecting,journal
S4210185096,"1868-4238","[""1868-4238"", ""1868-422X""]",IFIP advances in information and communication technology,book series
S58990993,"1672-9072","[""1672-9072"", ""1744-7909""]",Journal of Integrative Plant Biology,journal
S140210197,"0022-3131","[""0022-3131"", ""1881-1248""]",Journal of Nuclear Science and Technology,journal
S67103694,"0309-166X","[""0309-166X"", ""1464-3545""]",Cambridge Journal of Economics,journal
S195740279,"0738-081X","[""0738-081X"", ""1879-1131""]",Clinics in Dermatology,journal
S111042112,"1323-1316","[""1323-1316"", ""1440-1819""]",Psychiatry and Clinical Neurosciences,journal
S285199,"0006-8101","[""0006-8101"", ""1874-9372""]",The Botanical Review,journal
S69764086,"0277-7037","[""0277-7037"", ""1098-2787""]",Mass Spectrometry Reviews,journal
S56909845,"0006-3134","[""0006-3134"", ""1573-8264""]",Biologia Plantarum,journal
S4210240350,"0722-3277","[""0722-3277"", ""1431-584X""]",Zeitschrift für Physik B Condensed Matter,journal
S165997068,"0253-9837","[""0253-9837"", ""1872-2067""]",CHINESE JOURNAL OF CATALYSIS (CHINESE VERSION),journal
S106501229,"1438-7697","[""1438-7697"", ""1438-9312""]",European Journal of Lipid Science and Technology,journal
S77503192,"0026-7910","[""0026-7910"", ""1080-6598""]",MLN,journal
S70949411,"0035-2969","[""0035-2969"", ""1958-5691""]",Revue Française de Sociologie,journal
S22523967,"0364-216X","[""0364-216X"", ""1432-5241""]",Aesthetic Plastic Surgery,journal
S45897893,"0096-140X","[""0096-140X"", ""1098-2337""]",Aggressive Behavior,journal
S959787170,"0033-2747","[""0033-2747"", ""1943-281X""]",Psychiatry,journal
S82332189,"0969-5893","[""0969-5893"", ""1468-2850""]",Clinical Psychology Science and Practice,journal
S48254654,"0306-686X","[""0306-686X"", ""1468-5957""]",Journal of Business Finance &amp Accounting,journal
S50071195,"0163-5980","[""0163-5980"", ""1943-586X""]",ACM SIGOPS Operating Systems Review,journal
S189069745,"0040-8727","[""0040-8727"", ""1349-3329""]",The Tohoku Journal of Experimental Medicine,journal
S24701761,"1438-7492","[""1438-7492"", ""1439-2054""]",Macromolecular Materials and Engineering,journal
S4210194882,"0340-1022","[""0340-1022"", ""1436-5049""]",Topics in current chemistry,book series
S7773033,"1022-1360","[""1022-1360"", ""1521-3900""]",Macromolecular Symposia,journal
S125795645,"0009-286X","[""0009-286X"", ""1522-2640""]",Chemie Ingenieur Technik,journal
S4306463067,,"[]",Cornell University Press eBooks,ebook platform
S2764751824,"0067-0057","[""0067-0057"", ""2214-7985""]",Astrophysics and space science library,book series
S69987878,"0267-8179","[""0267-8179"", ""1099-1417""]",Journal of Quaternary Science,journal
S133811445,"0306-8919","[""0306-8919"", ""1572-817X""]",Optical and Quantum Electronics,journal
S133324295,"1435-2443","[""1435-2443"", ""1435-2451""]",Langenbeck s Archives of Surgery,journal
S152567572,"0002-9114","[""0002-9114"", ""1939-828X""]",American Journal of Archaeology,journal
S12390406,"0004-6264","[""0004-6264"", ""2053-051X""]",Publications of the Astronomical Society of Japan,journal
S202534398,"0962-6298","[""0962-6298"", ""1873-5096""]",Political Geography,journal
S161464388,"0956-5515","[""0956-5515"", ""1572-8145""]",Journal of Intelligent Manufacturing,journal
S35819839,"0340-0727","[""0340-0727"", ""1430-2772""]",Psychological Research,journal
S4210200933,"0030-3909","[""0030-3909""]",Optica Acta International Journal of Optics,journal
S44706263,"0023-9216","[""0023-9216"", ""1540-5893""]",Law & Society Review,journal
S946213959,"2073-4433","[""2073-4433""]",Atmosphere,journal
S2898447089,"2351-9789","[""2351-9789""]",Procedia Manufacturing,journal
S2500088085,"2190-5444","[""2190-5444""]",The European Physical Journal Plus,journal
S149798875,"0937-0633","[""0937-0633"", ""1432-1130""]",Fresenius Journal of Analytical Chemistry,journal
S155209994,"1387-585X","[""1387-585X"", ""1573-2975""]",Environment Development and Sustainability,journal
S114691300,"0021-9118","[""0021-9118"", ""1752-0401""]",The Journal of Asian Studies,journal
S17425584,"1773-0155","[""1773-0155"", ""1774-0746""]",Agronomy for Sustainable Development,journal
S171183513,"1368-3500","[""1368-3500"", ""1747-7603""]",Current Issues in Tourism,journal
S18053921,"0277-5395","[""0277-5395"", ""1879-243X""]",Women s Studies International Forum,journal
S46039370,"1468-2702","[""1468-2702"", ""1468-2710""]",Journal of Economic Geography,journal
S102399824,"0033-5177","[""0033-5177"", ""1573-7845""]",Quality & Quantity,journal
S102140811,"0091-8369","[""0091-8369"", ""1540-3602""]",Journal of Homosexuality,journal
S118419795,"0304-2421","[""0304-2421"", ""1573-7853""]",Theory and Society,journal
S2764866340,"2397-3374","[""2397-3374""]",Nature Human Behaviour,journal
S4210182546,"0920-5632","[""0920-5632"", ""1873-3832""]",Nuclear Physics B - Proceedings Supplements,journal
S166148025,"1050-8392","[""1050-8392"", ""1532-7795""]",Journal of Research on Adolescence,journal
S87865284,"0303-4569","[""0303-4569"", ""1439-0272""]",Andrologia,journal
S147868187,"0936-6768","[""0936-6768"", ""1439-0531""]",Reproduction in Domestic Animals,journal
S4210234250,"0031-8299","[""0031-8299"", ""1929-4883""]",Phoenix,journal
S192539729,"0897-3806","[""0897-3806"", ""1098-2353""]",Clinical Anatomy,journal
S175414165,"0965-4313","[""0965-4313"", ""1469-5944""]",European Planning Studies,journal
S166193747,"0376-0421","[""0376-0421"", ""1873-1724""]",Progress in Aerospace Sciences,journal
S25720340,"0736-5853","[""0736-5853"", ""1879-324X""]",Telematics and Informatics,journal
S159327246,"0266-7215","[""0266-7215"", ""1468-2672""]",European Sociological Review,journal
S4210225168,"0360-6376","[""0360-6376"", ""1542-9369""]",Journal of Polymer Science Polymer Chemistry Edition,journal
S123849098,"0144-929X","[""0144-929X"", ""1362-3001""]",Behaviour and Information Technology,journal
S123313652,"0343-2521","[""0343-2521"", ""1572-9893""]",GeoJournal,journal
S58380981,"1567-1356","[""1567-1356"", ""1567-1364""]",FEMS Yeast Research,journal
S4210186093,"2267-1242","[""2267-1242"", ""2555-0403""]",E3S Web of Conferences,journal
S113297301,"0072-9752","[""0072-9752"", ""2212-4152""]",Handbook of clinical neurology,book series
S89199708,"0922-6168","[""0922-6168"", ""1568-5675""]",Research on Chemical Intermediates,journal
S206700086,"1612-1872","[""1612-1872"", ""1612-1880""]",Chemistry & Biodiversity,journal
S104471971,"0341-2040","[""0341-2040"", ""1432-1750""]",Lung,journal
S77308338,"0964-8410","[""0964-8410"", ""1467-8683""]",Corporate Governance An International Review,journal
S73458468,"0025-584X","[""0025-584X"", ""1522-2616""]",Mathematische Nachrichten,journal
S10082577,"0022-0418","[""0022-0418"", ""1758-7379""]",Journal of Documentation,journal
S161439912,"0095-8972","[""0095-8972"", ""1026-7441"", ""1029-0389""]",Journal of Coordination Chemistry,journal
S4210175061,"2261-236X","[""2261-236X"", ""2274-7214""]",MATEC Web of Conferences,journal
S84742693,"0075-4358","[""0075-4358"", ""1753-528X""]",The Journal of Roman Studies,journal
S67739838,"0033-0124","[""0033-0124"", ""1467-9272""]",The Professional Geographer,journal
S2765003236,"2199-160X","[""2199-160X""]",Advanced Electronic Materials,journal
S181171746,"1381-4338","[""1381-4338"", ""1573-7020""]",Journal of Economic Growth,journal
S67976470,"0899-0042","[""0899-0042"", ""1520-636X""]",Chirality,journal
S95823145,"1389-9341","[""1389-9341"", ""1872-7050""]",Forest Policy and Economics,journal
S975761300,"1049-0965","[""1049-0965"", ""1537-5935""]",PS Political Science & Politics,journal
S12189451,"0305-7410","[""0009-4439"", ""1468-2648"", ""0305-7410""]",The China Quarterly,journal
S56601287,"0013-8266","[""0013-8266"", ""1477-4534""]",The English Historical Review,journal
S149422333,"0741-8825","[""0741-8825"", ""1745-9109""]",Justice Quarterly,journal
S60510972,"0950-0170","[""0950-0170"", ""1469-8722""]",Work Employment and Society,journal
S61428987,"0018-3768","[""0018-3768"", ""1436-736X""]",European Journal of Wood and Wood Products,journal
S75692751,"0011-1287","[""0011-1287"", ""1552-387X""]",Crime & Delinquency,journal
S4210173305,"0009-8388","[""0009-8388"", ""1471-6844""]",The Classical Quarterly,journal
S4210215187,"0021-8383","[""0021-8383""]",Journal für praktische Chemie,journal
S173500210,"1355-2546","[""1355-2546"", ""1758-7670""]",Rapid Prototyping Journal,journal
S120991925,"0308-5961","[""0308-5961"", ""1879-3258""]",Telecommunications Policy,journal
S182878189,"0300-8584","[""0300-8584"", ""1432-1831""]",Medical Microbiology and Immunology,journal
S25250876,"0308-5147","[""0308-5147"", ""1469-5766""]",Economy and Society,journal
S193006928,"0306-4379","[""0306-4379"", ""1873-6076""]",Information Systems,journal
S21304105,"0010-4175","[""0010-4175"", ""1475-2999""]",Comparative Studies in Society and History,journal
S135316137,"0091-7648","[""0091-7648"", ""1938-5463""]",Wildlife Society Bulletin,journal
S149100181,"0160-791X","[""0160-791X"", ""1879-3274""]",Technology in Society,journal
S71577765,"0065-2385","[""0065-2385"", ""1934-4791""]",Advances in chemical physics,book series
S117431132,"1436-3798","[""1436-3798"", ""1436-378X""]",Regional Environmental Change,journal
S2764386467,"0031-6903","[""0031-6903"", ""1347-5231""]",YAKUGAKU ZASSHI,journal
S54368951,"0921-9668","[""0921-9668"", ""1573-9104""]",Plant Foods for Human Nutrition,journal
S4210214650,"0340-6997","[""0340-6997"", ""1432-105X""]",European Journal of Nuclear Medicine,journal
S4210177767,"1865-1348","[""1865-1348"", ""1865-1356""]",Lecture notes in business information processing,book series
S175700853,"0010-2571","[""0010-2571"", ""1420-8946""]",Commentarii Mathematici Helvetici,journal
S61009040,"0300-5577","[""0300-5577"", ""1619-3997""]",Journal of Perinatal Medicine,journal
S4210169156,"2367-3389","[""2367-3389"", ""2367-3370""]",Lecture notes in networks and systems,book series
S187627927,"0065-3527","[""0065-3527"", ""1557-8399""]",Advances in virus research,book series
S195061198,"0021-2148","[""0021-2148"", ""1869-5868""]",Israel Journal of Chemistry,journal
S148277943,"2158-2440","[""2158-2440""]",SAGE Open,journal
S11006672,"0079-6565","[""0079-6565"", ""1873-3301""]",Progress in Nuclear Magnetic Resonance Spectroscopy,journal
S134433296,"1601-183X","[""1601-183X"", ""1601-1848""]",Genes Brain & Behavior,journal
S74940757,"0046-9750","[""0046-9750"", ""2050-0416""]",Journal of the Institute of Brewing,journal
S120226629,"0309-8168","[""0309-8168"", ""2041-0980""]",Capital & Class,journal
S160044600,"0031-613X","[""0031-613X"", ""1096-9063""]",Pesticide Science,journal
S38768227,"0166-6622","[""0166-6622"", ""1873-4340""]",Colloids and Surfaces,journal
S4210228240,"0939-7922","[""0939-7922"", ""1431-5831""]",Zeitschrift für Physik A Hadrons and Nuclei,journal
S42032724,"0020-1812","[""0020-1812"", ""1420-9098""]",Insectes Sociaux,journal
S173807628,"1470-6423","[""1470-6423"", ""1470-6431""]",International Journal of Consumer Studies,journal
S70121411,"1026-7719","[""1026-7719"", ""1042-6507"", ""1563-5325""]","Phosphorus, sulfur, and silicon and the related elements",journal
S4210174417,"0020-8604","[""0020-8604"", ""1961-1998"", ""2059-9218""]",International Review of the Red Cross,journal
S138062970,"1951-6355","[""1951-6355"", ""1951-6401""]",The European Physical Journal Special Topics,journal
S14980801,"0043-8243","[""0043-8243"", ""1470-1375""]",World Archaeology,journal
S123418790,"0947-5117","[""0947-5117"", ""1521-4176""]",Materials and Corrosion,journal
S2181421,"0162-2439","[""0162-2439"", ""1552-8251""]",Science Technology & Human Values,journal
S132457063,"1875-3892","[""1875-3892""]",Physics Procedia,journal
S37623806,"1471-9037","[""1471-9037"", ""1471-9045""]",Public Management Review,journal
S35593046,"0010-485X","[""0010-485X"", ""1436-5057""]",Computing,journal
S9231424,"0047-2530","[""0047-2530"", ""1537-5366""]",The Journal of Legal Studies,journal
S4210184570,"0863-1786","[""0863-1786""]",Zeitschrift für anorganische und allgemeine Chemie,journal
S102069374,"0065-3195","[""0065-3195"", ""1436-5030""]",Advances in polymer science,book series
S62458012,"1436-9990","[""1436-9990"", ""1437-1588""]",Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,journal
S136388143,"1528-4042","[""1528-4042"", ""1534-6293""]",Current Neurology and Neuroscience Reports,journal
S4210198301,"0027-769X","[""0027-769X"", ""1521-3803""]",Nahrung/Food,journal
S4210202560,"0003-9373","[""0003-9373""]",Archiv für Psychiatrie und Nervenkrankheiten,journal
S128375914,"0001-9720","[""0001-9720"", ""1750-0184""]",Africa,journal
S66510378,"1045-2354","[""1045-2354"", ""1095-9955""]",Critical Perspectives on Accounting,journal
S4210190181,"0367-8377","[""0367-8377""]",International journal of peptide & protein research,journal
S2875300,"0969-2290","[""0969-2290"", ""1466-4526""]",Review of International Political Economy,journal
S165666656,"0968-0802","[""0968-0802"", ""1099-1719""]",Sustainable Development,journal
S202482741,"0149-7952","[""0149-7952"", ""2164-8646""]",German Studies Review,journal
S176637136,"0887-3801","[""0887-3801"", ""1943-5487""]",Journal of Computing in Civil Engineering,journal
S92260147,"1350-1917","[""1350-1917"", ""1365-2575""]",Information Systems Journal,journal
S4210214017,"0365-5555","[""0365-5555""]",Acta Pathologica Microbiologica Scandinavica,journal
S98437390,"0344-5607","[""0344-5607"", ""1437-2320""]",Neurosurgical Review,journal
S6331754,"0012-4486","[""0012-4486"", ""1573-2622""]",Documenta Ophthalmologica,journal
S157481311,"1996-0875","[""1996-0875""]",Journal of Medicinal Plants Research,journal
S171424506,"0963-8180","[""0963-8180"", ""1468-4497""]",European Accounting Review,journal
S6959732,"1354-0688","[""1354-0688"", ""1460-3683""]",Party Politics,journal
S77728970,"0931-2439","[""0931-2439"", ""1439-0396""]",Journal of Animal Physiology and Animal Nutrition,journal
S108318183,"0022-1309","[""0022-1309"", ""1940-0888""]",The Journal of General Psychology,journal
S108820144,"0004-0843","[""0004-0843"", ""1923-1245""]",ARCTIC,journal
S4210171257,"0893-8849","[""0893-8849"", ""1749-7345""]",Journal of the World Aquaculture Society,journal
S62375027,"0952-1895","[""0952-1895"", ""1468-0491""]",Governance,journal
S4210230610,"0001-6683","[""0001-6683""]",Acta Pharmacologica et Toxicologica,journal
S28603624,"0179-7158","[""0179-7158"", ""1439-099X""]",Strahlentherapie und Onkologie,journal
S4210229343,"0044-3573","[""0044-3573""]",Zeitschrift für Tierpsychologie,journal
S151506945,"0144-2449","[""0144-2449"", ""1873-3115""]",Zeolites,journal
S83197289,"1746-4269","[""1746-4269""]",Journal of Ethnobiology and Ethnomedicine,journal
S113876312,"1469-3062","[""1469-3062"", ""1752-7457""]",Climate Policy,journal
S131264395,"0260-2105","[""0260-2105"", ""1469-9044""]",Review of International Studies,journal
S153445956,"0272-3638","[""0272-3638"", ""1938-2847""]",Urban Geography,journal
S81022070,"0161-8938","[""0161-8938"", ""1873-8060""]",Journal of Policy Modeling,journal
S192935290,"0957-9265","[""0957-9265"", ""1460-3624""]",Discourse & Society,journal
S4210176779,"0937-7433","[""0937-7433"", ""2512-5214""]",Springer-Lehrbuch,book series
S36808561,"0950-091X","[""0950-091X"", ""1365-2117""]",Basin Research,journal
S57016439,"0960-7439","[""0960-7439"", ""1365-263X""]",International Journal of Paediatric Dentistry,journal
S4210220958,"0933-033X","[""0933-033X"", ""2196-2812""]",Springer series in materials science,book series
S4210191250,"0016-7835","[""0016-7835"", ""1432-1149""]",Geologische Rundschau,journal
S63733671,"0587-4246","[""0587-4246"", ""1898-794X""]",Acta Physica Polonica A,journal
S4210228587,"0030-493X","[""0030-493X"", ""2376-3884""]",Organic Mass Spectrometry,journal
S181356434,"0888-7993","[""0888-7993"", ""1558-7975""]",Accounting Horizons,journal
S323237,"0001-4788","[""0001-4788"", ""2159-4260""]",Accounting and Business Research,journal
S34015784,"1612-4758","[""1612-4758"", ""1612-4766""]",Journal of Pest Science,journal
S4210171065,"0030-8129","[""0030-8129"", ""1938-1530""]",PMLA/Publications of the Modern Language Association of America,journal
S49968029,"0032-3292","[""0032-3292"", ""1552-7514""]",Politics & Society,journal
S2764587058,"2048-7177","[""2048-7177""]",Food Science & Nutrition,journal
S40975480,"1354-0661","[""1354-0661"", ""1460-3713""]",European Journal of International Relations,journal
S4387282998,"1817-6798","[""1817-6798"", ""2664-0570""]",Journal of Tikrit University for Humanities,journal
S61595665,"0007-1080","[""0007-1080"", ""1467-8543""]",British Journal of Industrial Relations,journal
S135086837,"1862-4057","[""1862-4057"", ""1862-4065""]",Sustainability Science,journal
S49405560,"0014-1801","[""0014-1801"", ""1527-5477""]",Ethnohistory,journal
S92682373,"0033-2933","[""0033-2933"", ""2163-3452""]",The Psychological Record,journal
S129086836,"1080-8620","[""1080-8620"", ""1540-6229""]",Real Estate Economics,journal
S4210240722,"0368-4466","[""0368-4466""]",Journal of thermal analysis,journal
S192525298,"0021-1753","[""0021-1753"", ""1545-6994""]",Isis,journal
S187169112,"0018-2133","[""0018-2133"", ""2153-6414""]",Hispania,journal
S1244823,"0272-4324","[""0272-4324"", ""1572-8986""]",Plasma Chemistry and Plasma Processing,journal
S23243783,"0048-0169","[""0048-0169"", ""1176-0702"", ""1176-0710""]",New Zealand Veterinary Journal,journal
S123665906,"0090-3752","[""0090-3752"", ""1095-9904""]",Nuclear Data Sheets,journal
S79587319,"1076-898X","[""1076-898X"", ""1939-2192""]",Journal of Experimental Psychology Applied,journal
S16292117,"0735-3936","[""0735-3936"", ""1099-0798""]",Behavioral Sciences & the Law,journal
S175405714,"0938-5428","[""0938-5428"", ""1464-3596""]",European Journal of International Law,journal
S184793761,"1435-9871","[""1435-9871"", ""2363-7064""]",Demographic Research,journal
S202178085,"0895-5638","[""0895-5638"", ""1573-045X""]",The Journal of Real Estate Finance and Economics,journal
S41709181,"1526-5161","[""1526-5161"", ""1536-0075""]",The American Journal of Bioethics,journal
S45659824,"0075-4269","[""0075-4269"", ""2041-4099""]",The Journal of Hellenic Studies,journal
S25809236,"0748-4518","[""0748-4518"", ""1573-7799""]",Journal of Quantitative Criminology,journal
S34788281,"0022-5037","[""0022-5037"", ""1086-3222""]",Journal of the History of Ideas,journal
S2764493452,"0068-0346","[""0068-0346"", ""2214-7942""]",Boston studies in the philosophy of science,book series
S61710699,"0020-7985","[""0020-7985"", ""1468-2435""]",International Migration,journal
S2764481192,"2212-5671","[""2212-5671""]",Procedia Economics and Finance,journal
S193541729,"0304-4289","[""0304-4289""]",Pramana,journal
S4210232966,"0044-3026","[""0044-3026""]",Zeitschrift für Lebensmittel-Untersuchung und -Forschung,journal
S2764741950,"0360-2141","[""0360-2141"", ""2379-0229""]",Metallurgical Transactions B,journal
S118811769,"1015-1621","[""1015-1621"", ""1420-9055""]",Aquatic Sciences,journal
S55509983,"0009-3130","[""0009-3130"", ""1573-8388""]",Chemistry of Natural Compounds,journal
S44052652,"0160-2527","[""0160-2527"", ""1873-6386""]",International Journal of Law and Psychiatry,journal
S47715536,"1673-1581","[""1673-1581"", ""1862-1783""]",Journal of Zhejiang University SCIENCE B,journal
S55970647,"0363-2415","[""0363-2415"", ""1548-8446""]",Fisheries,journal
S202848731,"0305-7488","[""0305-7488"", ""1095-8614""]",Journal of Historical Geography,journal
S55586218,"0305-4985","[""0305-4985"", ""1465-3915""]",Oxford Review of Education,journal
S166412053,"0011-4545","[""0011-4545"", ""1348-7019""]",CYTOLOGIA,journal
S144472306,"1741-038X","[""1741-038X"", ""1758-7786""]",Journal of Manufacturing Technology Management,journal
S173695690,"0004-6337","[""0004-6337"", ""1521-3994""]",Astronomische Nachrichten,journal
S187013691,"0958-9287","[""0958-9287"", ""1461-7269""]",Journal of European Social Policy,journal
S140831787,"0306-624X","[""0306-624X"", ""1552-6933""]",International Journal of Offender Therapy and Comparative Criminology,journal
S196029703,"0033-5630","[""0033-5630"", ""1479-5779""]",Quarterly Journal of Speech,journal
S117292697,"0170-2041","[""0170-2041""]",Liebigs Annalen der Chemie,journal
S162826810,"8755-7223","[""8755-7223"", ""1532-8481""]",Journal of Professional Nursing,journal
S98355519,"0304-422X","[""0304-422X"", ""1872-7514""]",Poetics,journal
S38600022,"0275-0392","[""0275-0392"", ""1085-794X""]",Human Rights Quarterly,journal
S4210227222,"0368-315X","[""0368-315X"", ""2514-9946""]",Journal of Mental Science,journal
S7919625,"1067-3229","[""1067-3229"", ""1465-7309""]",Harvard Review of Psychiatry,journal
S171971387,"0956-5221","[""0956-5221"", ""1873-3387""]",Scandinavian Journal of Management,journal
S117684900,"0021-1265","[""0021-1265"", ""1863-4362""]",Irish Journal of Medical Science (1971 -),journal
S138400101,"0143-6570","[""0143-6570"", ""1099-1468""]",Managerial and Decision Economics,journal
S2755586320,"0080-0015","[""0080-0015"", ""2197-6767""]",Recent results in cancer research/Recent Results in Cancer Research,book series
S173789977,"1472-0701","[""1472-0701"", ""1758-6054""]",Corporate Governance,journal
S168357330,"0021-1575","[""0021-1575"", ""1883-2954""]",Tetsu-to-Hagane,journal
S4210222574,"0044-3255","[""0044-3255""]",Zeitschrift für Parasitenkunde Parasitology Research,journal
S82902237,"1354-9839","[""1354-9839"", ""1469-6711""]",Local Environment,journal
S129686714,"1366-9877","[""1366-9877"", ""1466-4461""]",Journal of Risk Research,journal
S164398212,"0038-7134","[""0038-7134"", ""2040-8072""]",Speculum,journal
S2280564,"0065-258X","[""0065-258X"", ""1934-4694""]",Advances in enzymology and related areas of molecular biology/Advances in enzymology and related subjects,book series
S4210210225,"0003-9128","[""0003-9128""]",Archiv für Gynäkologie,journal
S3091228,"0021-8537","[""0021-8537"", ""1469-5138""]",The Journal of African History,journal
S10591207,"0011-3921","[""0011-3921"", ""1461-7064""]",Current Sociology,journal
S57770130,"0022-0426","[""0022-0426"", ""1945-1369""]",Journal of Drug Issues,journal
S4210201620,"0303-4194","[""0303-4194""]",Zeitschrift für die gesamte Neurologie und Psychiatrie,journal
S205284143,"0018-246X","[""0018-246X"", ""1469-5103""]",The Historical Journal,journal
S90602895,"0362-4803","[""0362-4803"", ""1099-1344""]",Journal of Labelled Compounds and Radiopharmaceuticals,journal
S191292005,"0192-3234","[""0192-3234"", ""2153-0416""]",Crime and Justice,journal
S4306463895,,"[]",SensePublishers eBooks,ebook platform
S44404461,"0038-0245","[""0038-0245"", ""1475-682X""]",Sociological Inquiry,journal
S146005121,"1542-1406","[""1542-1406"", ""1563-5287""]",Molecular Crystals and Liquid Crystals,journal
S4210188353,"0065-1281","[""0065-1281"", ""1618-0372""]",Acta Histochemica,journal
S164906323,"0196-8858","[""0196-8858"", ""1090-2074""]",Advances in Applied Mathematics,journal
S19938693,"1380-2224","[""1380-2224"", ""1573-4854""]",Journal of Porous Materials,journal
S129906632,"0362-3319","[""0362-3319"", ""1873-5355""]",The Social Science Journal,journal
S115434995,"0966-8136","[""0966-8136"", ""1465-3427""]",Europe Asia Studies,journal
S131852005,"1354-7798","[""1354-7798"", ""1468-036X""]",European Financial Management,journal
S9336330,"0940-9602","[""0940-9602"", ""1618-0402""]",Annals of Anatomy - Anatomischer Anzeiger,journal
S21220828,"0039-3681","[""0039-3681"", ""1879-2510""]",Studies in History and Philosophy of Science Part A,journal
S113166945,"0191-6599","[""0191-6599"", ""1873-541X""]",History of European Ideas,journal
S121026525,"0936-9937","[""0936-9937"", ""1432-1386""]",Journal of Evolutionary Economics,journal
S54306276,"0003-3146","[""0003-3146"", ""1522-9505""]",Die Angewandte Makromolekulare Chemie,journal
S2437199,"0934-0866","[""0934-0866"", ""1521-4117""]",Particle & Particle Systems Characterization,journal
S203700963,"1356-7500","[""1356-7500"", ""1365-2206""]",Child & Family Social Work,journal
S152286864,"0301-634X","[""0301-634X"", ""1432-2099""]",Radiation and Environmental Biophysics,journal
S167039476,"0002-919X","[""0002-919X"", ""2326-9197""]",The American Journal of Comparative Law,journal
S80347152,"0957-8765","[""0957-8765"", ""1573-7888""]",VOLUNTAS International Journal of Voluntary and Nonprofit Organizations,journal
S113790209,"0020-7381","[""0020-7381"", ""1873-3034""]",International Journal of Mass Spectrometry and Ion Physics,journal
S62507270,"0028-2804","[""0028-2804"", ""1433-0407""]",Der Nervenarzt,journal
S108722994,"0360-0564","[""0360-0564"", ""2163-0747""]",Advances in catalysis,book series
S31120751,"0144-5596","[""0144-5596"", ""1467-9515""]",Social Policy and Administration,journal
S80058157,"0951-6328","[""0951-6328"", ""1471-6925""]",Journal of Refugee Studies,journal
S158490989,"0931-2668","[""0931-2668"", ""1439-0388""]",Journal of Animal Breeding and Genetics,journal
S14981607,"0435-3684","[""0435-3684"", ""1468-0467""]",Geografiska Annaler Series B Human Geography,journal
S88922000,"0133-1736","[""0133-1736"", ""1588-2837""]",Reaction Kinetics and Catalysis Letters,journal
S4210219776,"2078-2489","[""2078-2489""]",Information,journal
S204453222,"1176-6336","[""1176-6336"", ""1178-203X""]",Therapeutics and Clinical Risk Management,journal
S25593863,"0950-2386","[""0950-2386"", ""1466-4348""]",Cultural Studies,journal
S75568645,"1546-542X","[""1546-542X"", ""1744-7402""]",International Journal of Applied Ceramic Technology,journal
S92685437,"0177-5537","[""0177-5537"", ""1433-044X""]",Der Unfallchirurg,journal
S4210172046,"2190-3018","[""2190-3018"", ""2190-3026""]","Smart innovation, systems and technologies",book series
S171945920,"1073-1105","[""1073-1105"", ""1748-720X""]",The Journal of Law Medicine & Ethics,journal
S71976930,"1612-4669","[""1612-4669"", ""1612-4677""]",European Journal of Forest Research,journal
S145471836,"0014-4983","[""0014-4983"", ""1090-2457""]",Explorations in Economic History,journal
S50431791,"1551-7411","[""1551-7411"", ""1934-8150""]",Research in Social and Administrative Pharmacy,journal
S71783669,"0965-7576","[""0965-7576"", ""1467-9396""]",Review of International Economics,journal
S117564099,"0013-1857","[""0013-1857"", ""1469-5812""]",Educational Philosophy and Theory,journal
S34395325,"1611-3683","[""1611-3683"", ""1869-344X""]",steel research international,journal
S4210184193,"2195-4356","[""2195-4356"", ""2195-4364""]",Lecture notes in mechanical engineering,book series
S97866008,"1521-3269","[""1521-3269"", ""1532-785X""]",Media Psychology,journal
S156235965,"0020-5893","[""0020-5893"", ""1471-6895""]",International and Comparative Law Quarterly,journal
S4210214890,"1944-7442","[""1944-7442"", ""1944-7450""]",Environmental Progress & Sustainable Energy,journal
S4210195851,"0176-7364","[""0176-7364""]",Archiv für Mikroskopische Anatomie,journal
S4210210261,"0020-9309","[""0020-9309""]",Internationale Revue der gesamten Hydrobiologie und Hydrographie,journal
S201436551,"0250-8060","[""0250-8060"", ""1941-1707""]",Water International,journal
S39541053,"0190-0692","[""0190-0692"", ""1532-4265""]",International Journal of Public Administration,journal
S4210238095,"0015-8208","[""0015-8208"", ""1521-3978""]",Fortschritte der Physik,journal
S9856456,"0192-5121","[""0192-5121"", ""1460-373X""]",International Political Science Review,journal
S81746323,"0963-8016","[""0963-8016"", ""1467-9760""]",Journal of Political Philosophy,journal
