"item_id_citing","item_id_cited","citing_pubyear","ref_seq_nr","ref_pubyear","ref_item_title","ref_source_title","ref_authors","ref_volume","scopus_ref_issue","ref_pages","ref_doi","wos_ref_article_number","scopus_ref_text","scopus_ref_fulltext","wos_citation_context","ref_pubyear_regexp"
"2-s2.0-40749102389","2-s2.0-40749093792",2007,43,,,,,,,,,,"see also Michael Pawlik, §14 Abs. 3 des Luftsicherheitsgesetzes - ein Tabubruch?, 59 Juristenzeitung 1045, 1049 (2004).","see also Michael Pawlik, §14 Abs. 3 des Luftsicherheitsgesetzes - ein Tabubruch?, 59 Juristenzeitung 1045, 1049 (2004).",,
"2-s2.0-40749102389","2-s2.0-40749083283",2007,144,2006,Die grundrechtliche Schutzpflicht im mehrpoligen Verfassungsrechtsverhältnis,Juristenzeitung,"{""Calliess, C.""}","61",,,,,"321","Christian Calliess, Die grundrechtliche Schutzpflicht im mehrpoligen Verfassungsrechtsverhältnis, 61 Juristenzeitung 321 (2006).",,
"2-s2.0-40749102389","2-s2.0-40749114472",2007,155,,,,,,,,,,"see also Hans Albrecht Hesse, Der Schutzstaat geht um, 46 Juristenzeitung 744 (1991).","see also Hans Albrecht Hesse, Der Schutzstaat geht um, 46 Juristenzeitung 744 (1991).",,
"2-s2.0-40749102389","2-s2.0-40749112457",2007,160,1981,Menschenwürde als Verfassungsgarantie im modernen Staat,Juristenzeitung,"{""Christian Starck, C.""}","36",,,,,"457","Compare Christian Starck, Menschenwürde als Verfassungsgarantie im modernen Staat, 36 Juristenzeitung 457 (1981);",,
"2-s2.0-40749102389","2-s2.0-40749117356",2007,197,2004,"Poscher, Die Würde des Menschen ist unantastbar",Juristenzeitung,{Ralf},"59",,,,,"See, e.g, 756","See, e.g., Ralf Poscher, Die Würde des Menschen ist unantastbar, 59 Juristenzeitung 756 (2004).",,
"2-s2.0-43549103096","2-s2.0-43549124647",2008,97,,,,,,,,,,"Tatjana Hörnle, Die Rolle des Opfers in der Straftheorie und im materiellen Strafrecht, Juristenzeitung 950 (2006). This interest is independent from financial interests which are dealt with in tort law.","Tatjana Hörnle, Die Rolle des Opfers in der Straftheorie und im materiellen Strafrecht, Juristenzeitung 950 (2006). This interest is independent from financial interests which are dealt with in tort law.",,
"2-s2.0-43549103096","2-s2.0-43549107370",2008,103,2005,,Juristenzeitung,"{""Susanne Walther, A.""}","686",,,,,See also,"See also Susanne Walther, Anmerkung, Juristenzeitung 686 (2005).",,
"2-s2.0-53549102235","2-s2.0-2442670847",2008,43,2003,Hasskriminalität: Eine neue kriminologische Deliktskategorie,JuristenZeitung,"{""Schneider, H.J.""}","58",,"497-504",,,,Schneider HJ (2003) Hasskriminalität: Eine neue kriminologische Deliktskategorie. JuristenZeitung 58:497-504,,
"2-s2.0-58049218670","2-s2.0-58049198070",2008,69,,,,,,,,,,"see also Christian Starek, Menschenwürde als Verfassungsgarantie im modernen Staat, 36 JURISTENZEITUNG 457 (1981);","see also Christian Starek, Menschenwürde als Verfassungsgarantie im modernen Staat, 36 JURISTENZEITUNG 457 (1981);",,
"2-s2.0-60349130238","2-s2.0-84926997499",2007,20,1997,"Anmerkung zubgh, urteil v. 11.12.1996 – viii zr 154/95",Juristenzeitung[Jz],"{""Huber, Peter""}","52",,"799, 800",,,,"Peter Huber, Anmerkung zuBGH, Urteil v. 11.12.1996 – VIII ZR 154/95, 52 Juristenzeitung [JZ] 799, 800 (1997)",,
"2-s2.0-60949253676","2-s2.0-60949395747",2007,11,2006,Der Rechtsstaat im Kampf gegen den Terror,Juristenzeitung,"{""Roellecke, G.""}","16",,,,,März,"Gerd Roellecke, Der Rechtsstaat im Kampf gegen den Terror. In: Juristenzeitung, 16. März 2006",,
"2-s2.0-60949253676","2-s2.0-31044448249",2007,15,2000,Vom unbedingten Verbot der Folter zum bedingten Recht auf Folter?,Juristenzeitung,"{""Brugger, W.""}","18",,,,,Februar,"Vgl. Winfried Brugger, Vom unbedingten Verbot der Folter zum bedingten Recht auf Folter? In: Juristenzeitung, 18. Februar 2000",,
"2-s2.0-61049382545","2-s2.0-61049267330",2004,17,1981,Republik- Sinnpotenzial eines Begriffs,Juristenzeitung,"{""Isensee, J.""}","36",,"1-78",,,,"Isensee, Josef 1981: Republik- Sinnpotenzial eines Begriffs, in: Juristenzeitung 36, 1-78.",,
"2-s2.0-61949445159","2-s2.0-79953978501",2007,148,1992,,Juristenzeitung (JZ),"{""Hettinger, M.""}",,,"244",,,"245","M. Hettinger, Juristenzeitung (JZ) 1992, S. 244 (245)",,
"2-s2.0-61949445159","2-s2.0-37949007479",2007,158,2002,Das Völkerstrafgesetzbuch,Juristenzeitung (JZ),"{""Werle, G."",""Jeßberger, F.""}",,,"725",,,,"G. Werle/F. Jeßberger, Das Völkerstrafgesetzbuch, Juristenzeitung (JZ) 2002, S. 725 f",,
"2-s2.0-66749178604","2-s2.0-84868986762",2007,8,2004,Der Schadensersatzanspruch aus Vertrag – System und Perspektiven,Archiv Für Civilistische Praxis,"{""Grundmann, S.""}","204",,"569-605",,,"discussing, among others, C.-W. Canaris, ‘Die Reform des Rechts der Leistungsstörungen’ Juristenzeitung 2001, 499–524","S. Grundmann, ‘Der Schadensersatzanspruch aus Vertrag – System und Perspektiven’ Archiv für civilistische Praxis 204 (2004) 569–605, discussing, among others, C.-W. Canaris, ‘Die Reform des Rechts der Leistungsstörungen’ Juristenzeitung 2001, 499–524.",,
"2-s2.0-67349224378","2-s2.0-40749083283",2009,9,2006,Die grundrechtliche Schutzpflicht im mehrpoligen Verfassungsrechtsverhältnis,Juristenzeitung,"{""Calliess, C.""}","61",,"321",,,,"Calliess, C. (2006). Die grundrechtliche Schutzpflicht im mehrpoligen Verfassungsrechtsverhältnis. Juristenzeitung, 61, 321.",,
"2-s2.0-67349224378","2-s2.0-67349177656",2009,19,2004,Terrorismusbekämpfung durch die Bundeswehr im Inneren Deutschlands?,Juristenzeitung,"{""Fischer, M.G.""}","59",,"376",,,,"Fischer, M. G. (2004). Terrorismusbekämpfung durch die Bundeswehr im Inneren Deutschlands? Juristenzeitung, 59, 376.",,
"2-s2.0-67349224378","2-s2.0-67349252937",2009,27,1991,Der Schutzstaat geht um,Juristenzeitung,"{""Hesse, H.A.""}","46",,"744",,,,"Hesse, H. A. (1991). Der Schutzstaat geht um. Juristenzeitung, 46, 744.",,
"2-s2.0-67349224378","2-s2.0-67349134076",2009,29,2007,"Der Staat des Grundgesetzes-nur ""bedingt abwehrbereit""?",Juristenzeitung,"{""Hillgruber, C.""}","62",,"206",,,,"Hillgruber, C. (2007). Der Staat des Grundgesetzes-nur ""bedingt abwehrbereit""? Juristenzeitung, 62, 206.",,
"2-s2.0-67349224378","2-s2.0-33846610410",2009,32,2005,"Luftsicherheit, Grundrechtsregime und Ausnahmezustand",Juristenzeitung,"{""Höfling, W."",""Augsberg, S.""}","60",,"1080",,,,"Höfling, W., & Augsberg, S. (2005). Luftsicherheit, Grundrechtsregime und Ausnahmezustand. Juristenzeitung, 60, 1080.",,
"2-s2.0-67349224378","2-s2.0-67349138070",2009,53,2007,§ 14 Abs. 3 Luftsicherheitsgesetz: Wann und warum darf der Staat töten?,Juristenzeitung,"{""Merkel, R.""}","62",,"373",,,,"Merkel, R. (2007). § 14 Abs. 3 Luftsicherheitsgesetz: Wann und warum darf der Staat töten? Juristenzeitung, 62, 373.",,
"2-s2.0-0031225785","2-s2.0-84866205479",1997,42,1956,Kritik am Viehgewährschaftsrecht,Juristenzeitung,"{""Ostler, F.""}","11",,"471-475",,,,"OSTLER, F. (1956): Kritik am Viehgewährschaftsrecht. Juristenzeitung 11, 471-475.",,
"2-s2.0-0031401797","2-s2.0-0009170668",1997,34,1990,Die deutschen Bundeländer in der EG,Juristenzeitung,"{""Hailbronner, K.""}","45","2","149-158",,,,"Hailbronner, Kay (1990) 'Die deutschen Bundeländer in der EG', Juristenzeitung, Vol.45, No.2, pp.149-58.",,
"2-s2.0-0031401797","2-s2.0-7044222667",1997,63,1990,Die Europäische Gemeinschaft und die bundesstaatliche Ordnung der Bundesrepublik Deutschland,Juristenzeitung,"{""Kewenig, W.A.""}","45","10","458-466",,,,"Kewenig, Wilhelm A. (1990) 'Die Europäische Gemeinschaft und die bundesstaatliche Ordnung der Bundesrepublik Deutschland', Juristenzeitung, Vol.45, No.10, pp.458-66.",,
"2-s2.0-84922309786","2-s2.0-84922321519",2010,25,1959,,Juristenzeitung,{Cohn},,,"467",,,See,See Cohn 1959 Juristenzeitung 467.,,
"2-s2.0-0035315477","2-s2.0-0007288601",2001,18,1998,Europol - Probleme der kontrolle,Kritische Justiz,"{""Fisahn, A.""}","31",,"358-371",,,,"See Andreas Fisahn, ""Europol - Probleme der Kontrolle,"" Kritische Justiz 31 (1998): 358-371; Kay Hailbronner, ""Die Immunität von Europol-Bediensteten,"" Juristenzeitung (1998): 283-289.",,
"2-s2.0-0035315477","2-s2.0-0007342006",2001,19,1998,Die immunität von Europol-bediensteten,Juristenzeitung,"{""Hailbronner, K.""}",,,"283-289",,,,"See Andreas Fisahn, ""Europol - Probleme der Kontrolle,"" Kritische Justiz 31 (1998): 358-371; Kay Hailbronner, ""Die Immunität von Europol-Bediensteten,"" Juristenzeitung (1998): 283-289.",,
"2-s2.0-0035615056","2-s2.0-0040573519",2001,55,1995,,Braucht Europa Eine Verfassung?,"{""Grimm, D.""}",,,"581",,,Juristenzeitung,"Speaking for many, Grimm holds: ""Constitutions are the legal fundaments of states"", see Dieter Grimm, Braucht Europa eine Verfassung? (Juristenzeitung, 1995), p. 581.",,
"2-s2.0-0345447689","2-s2.0-84855629103",2003,26,1999,Religionsunterricht für Muslime?,Juristenzeitung,"{""Heckel, M.""}",,,"741-758",,,,"Heckel, M. (1999a): Religionsunterricht für Muslime? In: Juristenzeitung, S. 741-758.",,
"2-s2.0-0345447689","2-s2.0-84855633675",2003,60,1999,Anmerkung zum Urteil des Bundesverwaltungsgerichts,Juristenzeitung,"{""Mückl, S.""}","54",,"358-360",,,"E 107, 75","Mückl, S. (1999): Anmerkung zum Urteil des Bundesverwaltungsgerichts, E 107, 75, In: Juristenzeitung 54, S. 358-360.",,
"2-s2.0-17144426038","2-s2.0-0001198140",2005,125487593,2002,Forschung mit embryonalen stammzellen und präimplantationsdiagnostik im lichte des rechts,Juristenzeitung,"{""Schroth, U.""}","4",,"170-179",,,,Schroth U. Forschung mit embryonalen Stammzellen und Prä implantationsdiagnostik im Lichte des Rechts. Juristenzeitung 2002; 4: 170-9.,,
"2-s2.0-17144426038","2-s2.0-17144385944",2005,125487607,2002,Embryonenforschung und verfassung,Juristenzeitung,"{""Heun, W.""}","11",,"517-524",,,,Heun W. Embryonenforschung und Verfassung. Juristenzeitung 2002; 11: 517-24.,,
"2-s2.0-17144426038","2-s2.0-0012378230",2005,125487613,2001,"Der ""verfassungsrechtliche status"" des embryos in vitro",Juristenzeitung,"{""Ipsen, J.""}","20",,"989-996",,,,"Ipsen J. Der ""verfassungsrechtliche Status"" des Embryos in vitro. Juristenzeitung 2001; 20: 989-96.",,
"2-s2.0-17144426038","2-s2.0-17144410841",2005,125487616,1989,Die fortpflanzung - Ein freiheitsrecht?,Juristenzeitung,"{""Ramm, T.""}","19",,"861-874",,,,Ramm T. Die Fortpflanzung - ein Freiheitsrecht? Juristenzeitung 1989; 19: 861-74.,,
"2-s2.0-2442701358","2-s2.0-2442670847",2004,94422096,2003,Hasskriminalität: Eine neue kriminologische Deliktskategorie,Juristenzeitung. 58.Jg,"{""Schneider, H.J.""}",,,"497-504",,,,"H.J. Schneider: Hasskriminalität: eine neue kriminologische Deliktskategorie. In: Juristenzeitung. 58.Jg. (2003), 497-504.",,
"2-s2.0-27744555736","2-s2.0-85008664473",2005,72,1998,Geheimgesetzgebung: Zum zustandekommen des justizmitteilungsgesetzes und gesetzes zur änderung kostenrechtlicher vorschriften und anderer gesetze,Juristenzeitung,"{""Bryde, B.-O.""}",,,"115-120",,,"3","Brun-Otto Bryde: Geheimgesetzgebung: Zum Zustandekommen des Justizmitteilungsgesetzes und Gesetzes zur Änderung kostenrechtlicher Vorschriften und anderer Gesetze, in: Juristenzeitung 3/1998, S. 115-120, hier S. 119.",,
"2-s2.0-33646248074","2-s2.0-85069079914",2006,1,2003,"Die ""anonyme"" Geburt",JZ (Juristenzeitung),"{""Benda, E.""}",,,"533",,,,"Benda E. Die ""anonyme"" Geburt. JZ (Juristenzeitung) 2003; 533",,
"2-s2.0-33646584822","2-s2.0-33646564832",2006,79,2001,Ein vertragsgesetzbuch für Europa?,Juristenzeitung,"{""Schulte-Nölke, H.""}",,,"917-920",,,,"Schulte-Nölke, H. (2001). ""Ein Vertragsgesetzbuch für Europa?"". Juristenzeitung, 917-920.",,
"2-s2.0-33646584822","2-s2.0-33646537945",2006,92,1996,Die rolle des verbraucherrechts bei der entwicklung eines europäischen zivilrechts,Juristenzeitung,"{""Tonner, K.""}",,,"533-541",,,,"Tonner, K. (1996). ""Die Rolle des Verbraucherrechts bei der Entwicklung eines europäischen Zivilrechts."" Juristenzeitung, 533-541.",,
"2-s2.0-33845650928","2-s2.0-33845614141",2006,92,1998,,Juristenzeitung,,,,"1072",,,,"1998 JURISTENZEITUNG 1072 and,",,
"2-s2.0-33846015660","2-s2.0-84996221422",2005,7,1967,Zur Spielraumtheorie als der Grundlage der Strafzumessungslehre des Bundesgerichtshofes,Juristenzeitung,"{""Dreher, E.""}","22",,"41-46",,,,"Dreher, E. (1967). Zur Spielraumtheorie als der Grundlage der Strafzumessungslehre des Bundesgerichtshofes. Juristenzeitung 22, 41-46.",,
"2-s2.0-34247105400","2-s2.0-34247097288",2006,6,1990,,"Arnim, Hans Herbert von",,,,"1014-1017",,,"Abgeordnetenkorruption, Juristenzeitung 45","Arnim, Hans Herbert von, 1990: Abgeordnetenkorruption, in: Juristenzeitung 45, 1014-1017.",,
"2-s2.0-36849015755","2-s2.0-0345103650",2007,36,2001,Abschaffung der Auslieferung? Kritische Anmerkungen zur Reform des Auslieferungsrechts in der Europäischen Union,Juristenzeitung,"{""Vogel, J.""}","56",,"937-943",,,,"Vogel, Joachim, 2001: Abschaffung der Auslieferung? Kritische Anmerkungen zur Reform des Auslieferungsrechts in der Europäischen Union, in: Juristenzeitung 56, 937-943.",,
"2-s2.0-39849097742","2-s2.0-39849095728",2007,101,,,,,,,,,,"Kleinlein, supra note 14; Baars & Böckel, supra note 15. To similar effect, see Christoph Ohler, Der Staatsbankrott, 60 JURISTENZEITUNG 590, 595 (2005).","Kleinlein, supra note 14; Baars & Böckel, supra note 15. To similar effect, see Christoph Ohler, Der Staatsbankrott, 60 JURISTENZEITUNG 590, 595 (2005).",,
"2-s2.0-40449083259","2-s2.0-40449130744",2008,148,2003,,,"{""Frankfurt, L.G."",""Juristenzeitung, A.M.""}",,"1010",,,,,"LG Frankfurt a.M. Juristenzeitung 2003, 1010",,
"2-s2.0-40449083259","2-s2.0-40449132947",2008,174,,,,,,,,,,"LG Frankfurt a.M., Juristenzeitung 2003, 1010.","LG Frankfurt a.M., Juristenzeitung 2003, 1010.",,
"2-s2.0-40449083259","2-s2.0-40449134512",2008,175,,,,,,,,,,"Reinisch, Anmerkung LG Frankfurt a.M., Juristenzeitung 2003, 1010 at 1013.","Reinisch, Anmerkung LG Frankfurt a.M., Juristenzeitung 2003, 1010 at 1013.",,
"2-s2.0-49249085553","2-s2.0-49249110509",2008,3,,,,,,,,,,"Jens Kleinschmidt, Tagungsbericht - Beyond the State? Rethinking Private Law, 62 JURISTENZEITUNG 1044-45 (2007).","Jens Kleinschmidt, Tagungsbericht - ""Beyond the State? Rethinking Private Law,"" 62 JURISTENZEITUNG 1044-45 (2007).",,
"2-s2.0-34547624480","2-s2.0-84888687156",2007,36,,,,,,,,,,"Baumann, Mittelbare Täterschaft oder Anstiftung bei Fehlvorstellungen über den Tatmittler?, Juristenzeitung, 19.58, pp. 230 et seq","Baumann, Mittelbare Täterschaft oder Anstiftung bei Fehlvorstellungen über den Tatmittler?, Juristenzeitung, 19.58, pp. 230 et seq",,
"2-s2.0-49249105654","2-s2.0-85036921255",2008,20,,,,,,,,,,"With respect to this limited claim, see, e.g, Stanley L. Paulson, Der Normativismus Hans Kelsens, 61 JURISTENZEITUNG 529, 533-36 2006","With respect to this limited claim, see, e.g., Stanley L. Paulson, Der Normativismus Hans Kelsens, 61 JURISTENZEITUNG 529, 533-36 (2006).",,
"2-s2.0-52649149529","2-s2.0-52649150638",2002,7,2000,Zur Reform des deutschen Kaufrechts - Herausforderungen durch die EG-Verbrauchsgüterkaufrichtlinie,Juristenzeitung,"{""Brüggemeier, G.""}","55",,"529-538",,,,"Brüggemeier, G. (2000). Zur Reform des deutschen Kaufrechts - Herausforderungen durch die EG-Verbrauchsgüterkaufrichtlinie. Juristenzeitung, 55, 529-538.",,
"2-s2.0-57149127253","2-s2.0-57149144297",2008,34,2006,Gewissensfreiheit Contra Gehorsamspflicht Oder: Der Irak-Krieg auf Verwaltungsgerichtlichem Prüfstand,JuristenZeitung,"{""Kotzur, M.""}","61",,"25-29",,,,"Kotzur, Markus. (2006) Gewissensfreiheit Contra Gehorsamspflicht Oder: Der Irak-Krieg auf Verwaltungsgerichtlichem Prüfstand. JuristenZeitung 61: 25-29.",,
"2-s2.0-67650786976","2-s2.0-79958940527",2004,50,1905,,Die Zweiteilung im Preußischen Gefängniswesen,"{""Hamm, O.""}",,,"969-977",,,Deutsche Juristenzeitung (DJZ) 10,"O. Hamm, Die Zweiteilung im preußischen Gefängniswesen, in: Deutsche Juristenzeitung (DJZ) 10 (1905), Sp. 969-977;",,
"2-s2.0-61349171209","2-s2.0-85184704546",2009,20,,,,,,,,,,"Cf. HILGENBERG, A Fresh Look at Soft Law, 1999 European Journal of International Law 499; THÜRER, 'Soft Law' - eine neue Form von Völkerrecht?, 1985 Zeitschrift fúr Schweizerisches Recht 429; WENGLER, 'Nichtrechtliche' Staatenverträge in der Sicht des Völkerrechts und des Verfassungsrechts, 1995 Juristenzeitung 21.","Cf. HILGENBERG, ""A Fresh Look at Soft Law"", 1999 European Journal of International Law 499; THÜRER, ""'Soft Law' - eine neue Form von Völkerrecht?"", 1985 Zeitschrift fúr Schweizerisches Recht 429; WENGLER, ""'Nichtrechtliche' Staatenverträge in der Sicht des Völkerrechts und des Verfassungsrechts"", 1995 Juristenzeitung 21.",,
"2-s2.0-62249214130","2-s2.0-27144443235",2006,38,1995,Braucht Europa eine Verfassung,Juristenzeitung,"{""Grimm, D.""}","50",,"581-591",,,,"D. Grimm, Braucht Europa eine Verfassung, in: Juristenzeitung, 50 (1995), 581-591, hier: 587 u. 589. Dieselbe Dynamik ist in den verschiedenen mehrsprachigen Staaten in Europa zu beobachten, wo zunehmend deutlich wird, dass die ""öffentliche Meinung"" entlang der Sprachgrenzen geteilt ist",,
"2-s2.0-62549149907","2-s2.0-84857092369",2005,15,1996,Offene oder verdeckte amnestie - Über wege strafrechtlicher vergangenheitsbewältigung,Juristenzeitung (JZ),{Hillenkamp},,,"179-187",,,p. 187,"Hillenkamp, Offene oder verdeckte Amnestie - über Wege strafrechtlicher Vergangenheitsbewältigung, Juristenzeitung (JZ) 1996, pp. 179-187, at p. 187.",,
"2-s2.0-67649612992","2-s2.0-85036833479",2009,34,,,,,,,,,,"Arthur Hartkamp, Principles of Contract Law, in TOWARDS A EUROPEAN CIVIL CODE, supra note 5, at 141, 142; and see, for the topics dealt with in Part I of the PECL, Reinhard Zimmermann, Konturen eines Europaischen Vertragsrechts, 50 JURISTENZEITUNG 477 (1995); for the topics added to the Unidroit Principles of International Commercial Contracts in their second edition, see Reinhard Zimmermann, Die Unidroit-Grundregeln der internationalen Handelsverträge 2004 in ver- gleichender Perspektive, 13 ZEITSCHRIFT FÜR EUROPÄISCHES PRIVATRECHT 264 (2005).","Arthur Hartkamp, Principles of Contract Law, in TOWARDS A EUROPEAN CIVIL CODE, supra note 5, at 141, 142; and see, for the topics dealt with in Part I of the PECL, Reinhard Zimmermann, Konturen eines Europaischen Vertragsrechts, 50 JURISTENZEITUNG 477 (1995); for the topics added to the Unidroit Principles of International Commercial Contracts in their second edition, see Reinhard Zimmermann, Die Unidroit-Grundregeln der internationalen Handelsverträge 2004 in ver- gleichender Perspektive, 13 ZEITSCHRIFT FÜR EUROPÄISCHES PRIVATRECHT 264 (2005).",,
"2-s2.0-67649612992","2-s2.0-85036841237",2009,102,2001,,"Europdischer Verbraucherschutz und das BGB, JURISTENZEITUNG","{""Roth, W.-H.""}","475",,"484-490",,,at,"; Wulf-Henning Roth, Europdischer Verbraucherschutz und das BGB, JURISTENZEITUNG 475, at 484-90 (2001)",,
"2-s2.0-67649612992","2-s2.0-85036810022",2009,236,,,,,,,,,,"Cf. also Reinhard Zimmermann, Savigny's Legacy: Legal History, Comparative Law and the Emergence of a European Legal Science, 42 L. Q. REV. 576 (1996, REINHARD ZIMMERMANN, Comparative Law and the Europeanization of Private Law, in THE OXFORD HANDBOOK OF COMPARATIVE LAW, supra note 12, at 539; Nils Jansen, Dogmatik, Erkenntnis und Theorie im europäischen Privatrecht, 13 ZEITSCHRIFT FÜR EUROPÄISCHES PRIVATRECHT 750 (2005, Nils Jansen, Traditionsbegründung im europäischen Privatrecht, 61 JURISTENZEITUNG 536 (2006, Jan Smits, Contract Law in the European Union: Convergence or Not, in 4th EUROPEAN JURISTS' FORUM 45 2008, Smits, supra note 104, at 162","Cf. also Reinhard Zimmermann, Savigny's Legacy: Legal History, Comparative Law and the Emergence of a European Legal Science, 42 L. Q. REV. 576 (1996); REINHARD ZIMMERMANN, Comparative Law and the Europeanization of Private Law, in THE OXFORD HANDBOOK OF COMPARATIVE LAW, supra note 12, at 539; Nils Jansen, Dogmatik, Erkenntnis und Theorie im europäischen Privatrecht, 13 ZEITSCHRIFT FÜR EUROPÄISCHES PRIVATRECHT 750 (2005); Nils Jansen, Traditionsbegründung im europäischen Privatrecht, 61 JURISTENZEITUNG 536 (2006); Jan Smits, Contract Law in the European Union: Convergence or Not?, in 4th EUROPEAN JURISTS' FORUM 45 (2008); Smits, supra note 104, at 162.",,
"2-s2.0-72449168032","2-s2.0-84869732727",2009,66,2009,Recht als produkt,Juristenzeitung,"{""Eidenmüller, H.""}","64",,"641",,,,"Horst Eidenmüller, Recht als Produkt, 64 Juristenzeitung 641 (2009).",,
"2-s2.0-75149123484","2-s2.0-79958181758",2009,13,2004,Was ist und Wozu Rechtsphilosophie?,Juristenzeitung,,,,"157-166",,,,"Zu einer ersten Formulierung der Aufgabe der Rechtsphilosophie vgl. Verf., Was ist und Wozu Rechtsphilosophie?, in: Juristenzeitung 2004, S. 157-166",,
"2-s2.0-77952644795","2-s2.0-34249661875",2003,40,1995,"Schutzwirkungen zugunsten Dritter bei ""Gegenlaufigkeit"" der Interessen",Juristenzeitung,"{""Canaris, C.-W.""}","9",,"441",,,,"C-W Canaris, ‘Schutzwirkungen zugunsten Dritter bei ""Gegenlaufigkeit"" der Interessen’ (1995) 9 Juristenzeitung 441",,
"2-s2.0-0031240537","2-s2.0-33750677724",1997,109,1990,Ethische und rechtliche Probleme am Ende des Lebens,Juristenzeitung,"{""Giesen, D.""}","45",,"929",,,,"Giesen D: Ethische und rechtliche Probleme am Ende des Lebens. Juristenzeitung 1990, 45:929",,
"2-s2.0-0033604374","2-s2.0-80052200114",1999,35,1993,Aktuelle Probleme in der Ärztehaftpflicht,Schweiz. Juristenzeitung,"{""Kuhn, M.""}","89",,"257-266+284-288",,,,"Kuhn M.: Aktuelle Probleme in der Ärztehaftpflicht, Schweiz. Juristenzeitung, 1993; 89: 257-266, 284-288",,
"2-s2.0-0035636796","2-s2.0-0347655980",2001,31445501,1996,Empfehlen sich gesetzliche Regeln zur Einschränkung des Einflusses der Kreditinstitute auf Aktiengesellschaften?,Juristenzeitung,"{""Peltzer, M.""}","51",,"842-851",,,Jg.,"Peltzer, Martin (1996): Empfehlen sich gesetzliche Regeln zur Einschränkung des Einflusses der Kreditinstitute auf Aktiengesellschaften? ""Juristenzeitung"", Jg. 51, S. 842-851.",,
"2-s2.0-0036332580","2-s2.0-0344408063",2002,78804095,1987,,Aérospatiale,,,,"522",,,above n 107 482 US 522,"See Amicus Brief for the Republic of France and Amicus Brief for the Federal Republic of Germany, as cited in Aérospatiale, (1987)] at 522. See also e.g., Corning Glass Works v International Telephone and Telegraph Corp, Civil Case No 76-0144 (WD Va filed 14 July 1976), Judgment of 27 November 1980, Oberlandesgericht [OLG], München, 1981 Juristenzeitung [JZ] 538, reprinted in 20 ILM 1025 (1981) at 1036-37; also Judgment of 10 June 1981, Landgericht [LG], München, 1982 Zeitschrift für Zivilprozess [ZZP] 362, at 363 (holding that the provisions of the Code of Civil Procedure (Zivilprozessordnung [ZPO] vom 30. Januar 1877, in der Neufassung vom 12. September 1950, BGBl I S 533) apply only to the extent that the Hague Evidence Convention does not require a different result).",,
"2-s2.0-60149104392","2-s2.0-35748963347",2008,128,1993,Zur Bestrafung von Unternehmen,Juristenzeitung,"{""Volk, C.K.""}","429",,"431",,,at,"Cf. K. Volk, 'Zur Bestrafung von Unternehmen', Juristenzeitung (1993) 429, at 431.",,
"2-s2.0-61149662241","2-s2.0-79954858554",2008,8,1932,Bismarcks Stellung zur Justiz,Deutsche Juristenzeitung,"{""Goldschmidt, H.""}","37",,"437-442",,,,"Vgl. Hans Goldschmidt, Bismarcks Stellung zur Justiz, in: Deutsche Juristenzeitung 37 (1932) 437-442;",,
"2-s2.0-0036332580","2-s2.0-0345271021",2002,78804096,,,Corning Glass Works v International Telephone and Telegraph Corp,,,,,,,"Civil Case No 76-0144 (WD Va filed 14 July 1976), Judgment of 27 November 1980, Oberlandesgericht [OLG], München, 1981 Juristenzeitung [JZ] 538, at 1036-1037","See Amicus Brief for the Republic of France and Amicus Brief for the Federal Republic of Germany, as cited in Aérospatiale, (1987)] at 522. See also e.g., Corning Glass Works v International Telephone and Telegraph Corp, Civil Case No 76-0144 (WD Va filed 14 July 1976), Judgment of 27 November 1980, Oberlandesgericht [OLG], München, 1981 Juristenzeitung [JZ] 538, reprinted in 20 ILM 1025 (1981) at 1036-37; also Judgment of 10 June 1981, Landgericht [LG], München, 1982 Zeitschrift für Zivilprozess [ZZP] 362, at 363 (holding that the provisions of the Code of Civil Procedure (Zivilprozessordnung [ZPO] vom 30. Januar 1877, in der Neufassung vom 12. September 1950, BGBl I S 533) apply only to the extent that the Hague Evidence Convention does not require a different result).",,
"2-s2.0-0036332580","2-s2.0-0344408061",2002,78804097,1981,,ILM,,"20",,"1025",,,,"See Amicus Brief for the Republic of France and Amicus Brief for the Federal Republic of Germany, as cited in Aérospatiale, above n 107 [482 US 522 (1987)] at 522. See also e.g., Corning Glass Works v International Telephone and Telegraph Corp, Civil Case No 76-0144 (WD Va filed 14 July 1976), Judgment of 27 November 1980, Oberlandesgericht [OLG], München, 1981 Juristenzeitung [JZ] 538, reprinted in 20 ILM 1025 (1981) at 1036-37; also Judgment of 10 June 1981, Landgericht [LG], München, 1982 Zeitschrift für Zivilprozess [ZZP] 362, at 363 (holding that the provisions of the Code of Civil Procedure (Zivilprozessordnung [ZPO] vom 30. Januar 1877, in der Neufassung vom 12. September 1950, BGBl I S 533) apply only to the extent that the Hague Evidence Convention does not require a different result).",,
