"citing_keyword","item_cnt"
"{Frontier,History,Writ}",1
{Visigothic},2
"{Frontier,""Hittite language"",""Minor (academic)"",Reign,Throne}",1
"{Frontier,""Medieval history"",Ruler,Spell,Welsh}",1
"{""Wakefield Acceleration""}",1
"{""War Crimes""}",2
"{Frontier,Reign,Siege,Surrender}",1
"{""Wastewater Treatment""}",2
"{""Front line"",Gender,""Home front""}",1
"{""Fruit Ripening""}",2
"{""Data Privacy"",""Data Protection"",Mandate,""Privacy Concerns"",""Privacy Regulations""}",1
"{""Weimar Republic""}",2
"{""Company Governance"",""Ownership Structure""}",2
"{Antisemitism,""Human Rights"",""Right-Wing Extremism"",Sovereignty,Violence}",2
"{""Wine Choice"",""Winery Visits"",""Wine Tourism""}",1
"{""Winner Determination""}",2
"{""Wood Chemistry""}",2
{Functionalization},2
"{""Data Privacy"",Dignity,""Freedom of expression"",""Privacy Concerns""}",1
"{""Worker Participation"",""Workplace Governance""}",1
"{""Workplace Flexibility""}",2
"{""Data Privacy"",Erasure}",1
"{""Data Privacy"",""Framing (construction)"",""Internet Governance"",""Privacy Concerns""}",1
"{""WTO Dispute Settlement""}",2
"{""Data Privacy"",Harmonization,""Privacy Concerns"",Safeguarding}",1
{Yearbook},1
"{""Zero (linguistics)""}",1
"{""Data Privacy"",Intermediary,""Internet of Things"",""Privacy Concerns"",Privacy,""Smart Contracts""}",1
"{""Cross-border Insolvency"",""Forum shopping"",""Legal certainty""}",1
"{""Cross-border Insolvency"",""Forum shopping"",""Not for profit""}",1
"{""Cross-border Insolvency"",""Insolvency Proceedings""}",1
"{""Cross-Border Litigation"",Declaration,""Legal Translation"",Pleading}",1
"{""Cross-Border Litigation"",Directive,""European Legal Systems"",""Position (finance)""}",1
"{""Cross-Border Litigation"",Download,Permission}",1
"{""Cross-Border Litigation"",""European Legal Systems"",""Member state""}",1
"{""Cross-Border Litigation"",""European Private Law"",""Jurisdiction Agreements"",""Legal Harmonization"",""Private International Law""}",1
"{""Cross-Border Litigation"",""Freedom of contract"",""Substantive law""}",1
"{""Cross-Border Litigation"",Gratitude}",1
"{""Cross-Border Litigation"",""Jurisdiction Agreements"",""Reciprocity (cultural anthropology)""}",1
"{""Cross-Border Litigation"",""Member state""}",1
"{""Cross-Border Litigation"",""Mutual recognition""}",1
"{""Cross-Border Litigation"",""Personal jurisdiction"",""Position (finance)""}",1
"{""Cross-Border Litigation"",""Scope (computer science)"",Territoriality,Transferability}",1
"{""Cross-Border Litigation"",""Trade Contracts""}",1
"{""Cross-border Mergers"",""European Company Law""}",1
"{""Cross-Border Patient Mobility"",""Migrant Health"",""Patient Experience"",""Patient Rights""}",1
"{""Cross-Border Taxation"",Derecho}",1
"{""Cross-Border Taxation"",Harmonization}",1
"{""Cross-Border Taxation"",""Income Tax"",""International Taxation"",""Optimal Taxation"",Taxation}",1
"{""Cross country"",""Income Distribution"",""Robustness (evolution)""}",1
"{""Cross-Cultural Communication"",""New england""}",1
"{""Cross-Cultural Comparison"",Metaphors,""Narrative Ethics"",""Spatial Metaphors""}",1
"{""Cross-Cultural Encounters"",""Maritime Conflict"",""Medieval Spain"",Mediterranean,Peninsula}",1
"{""Cross-Cultural Management"",""Institutional Context"",""Institutional Logics"",""Organizational Change"",""Organizational Effectiveness"",Umwelt}",1
"{""Cross-disciplinary Studies"",""Historical Narratives"",""Intellectual Exchange"",Literature,Manuscripts}",1
"{""Cross-disciplinary Studies"",""Intellectual Exchange"",Philanthropy,""Political Ideologies"",""Scientific Institutions""}",1
"{""Cross-disciplinary Studies"",""Intellectual Exchange"",""Political Ideologies"",""Revolutionary Historiography"",""Scientific Institutions""}",1
"{Crosshead,""Microfluidic Rheometry"",Viscoelasticity}",1
"{""Cross infection"",""Patient Complaints""}",1
"{""Cross-linguistic Analysis""}",1
{Cross-Metathesis},1
"{""Cross-National Convergence""}",1
"{""Cross-National Study"",""Informal Economy"",""Shadow Economy""}",1
"{Cross-platform,""Educational Technology"",""Internet Accessible Labs"",""Open Educational Resources"",""Remote Learning"",""Reuse of Educational Resources""}",1
"{""Cross-Platform Development"",""Mobile Application Development"",""Progressive Web Apps""}",1
"{""Cross-sectional study"",""Dental Caries"",""Longitudinal study""}",1
{Crowdfunding},1
"{""Crowd Simulation"",Realm,""Social Sensing""}",1
"{""Crowdsourced Mapping"",Digitization,""Relevance (law)"",""Thematic analysis"",""Thematic map""}",1
"{Crowdsourcing,""Data Privacy""}",1
"{Crowdsourcing,Download}",1
"{Crowdsourcing,""Online Communities""}",1
"{Crusades,Embarrassment,Siege}",1
"{Crusades,Penitential,Proclamation}",1
"{""Crushed stone"",Gradation,""Permeation Grouting""}",1
"{""Cry Analysis"",Erg}",1
"{""Cryo-Electron Microscopy""}",1
"{""Cryogenic Material Properties"",""High-Temperature Superconductivity""}",1
"{""Cryogenic Treatment""}",1
"{""Cryptococcal Disease"",Flucytosine}",1
"{""Cryptococcal Disease"",Trichosporon}",1
{Cryptocurrencies},1
"{Crypto-Jews,""Roman Empire""}",1
"{""Crystal Growth"",""Dynamics (music)"",""Homogeneous Nucleation""}",1
"{Crystallization,Vaterite,""Volume fraction""}",1
"{""Crystallization Kinetics"",Haze,""Material Modeling"",""Polymer Crystallization"",Polypropylene,Polystyrene}",1
"{""Crystallization Mechanism"",""Hierarchical Zeolites"",""Pore Structure Characterization"",Silanol,""Small-angle X-ray scattering"",""Thermogravimetric analysis""}",1
"{""Crystallization Mechanism"",MCM-41,Piperidine,""Recrystallization (geology)""}",1
"{""Crystallization Mechanism"",""Reactivity (psychology)"",""Seed crystal""}",1
{Crystallographic},1
"{""Crystallographic Computing"",""Crystal Structures"",""Inorganic Crystal Structures"",""Metallic Cluster Complexes""}",1
{Crystallography},1
"{Crystallography,""High-Resolution X-Ray Diffraction"",Nano-composites}",1
{Crystalloids},1
"{""Crystal Plasticity Modeling"",Stuttgart}",1
"{""Crystal (programming language)"",""Crystallization Mechanism"",""Hierarchical Zeolites"",""Seed crystal"",Zeolites}",1
"{""Crystal (programming language)"",""Crystallization Mechanism"",""Hydrothermal synthesis"",""Silicic acid"",Silicic}",1
"{""Crystal (programming language)"",""Crystal Plasticity"",""Deformation bands"",""Deformation Mechanisms"",""Pole figure"",""Texture (cosmology)""}",1
"{""Crystal (programming language)"",""Crystal Structure Determination"",""Data collection system"",""Data Processing"",""High-Throughput Crystallization"",""Macromolecular Crystallography"",SPring-8,""Structure Solution""}",1
"{""Crystal (programming language)"",Diffractometer,""Powder Diffraction""}",1
"{""Crystal (programming language)"",""pH Sensing"",""Zinc phosphate""}",1
"{""Crystal Structure Determination""}",1
"{""Crystal Structure Refinement""}",1
"{""Crystal Structure Refinement"",""Crystal Structures"",""Metallic Cluster Complexes"",""Monoclinic crystal system"",Thallium}",1
"{""Crystal Structure Refinement"",""High-Spin Transition Metal Complexes""}",1
"{""Crystal Structures"",""Magic angle spinning"",""Neutron spectroscopy""}",1
"{""Crystal Structures"",""Metallic Cluster Complexes""}",1
"{""Crystal Structures"",""Metallic Cluster Complexes"",""Transition-Metal Clusters""}",1
"{""Crystal Structures"",Metalloid,""Noble Metal Nanoclusters""}",1
"{""Crystal Structures"",""Metal-Organic Frameworks"",""Noble Metal Nanoclusters"",""Organometallic Chemistry""}",1
"{""Crystal Structures"",Stuttgart}",1
"{""Crystal Structures"",""Trigonal crystal system""}",1
"{""CT Imaging""}",1
"{Cubane,""High-Spin Transition Metal Complexes"",Isostructural,""Lanthanide Complexes"",""Lanthanide Coordination Complexes""}",1
"{""Cube (algebra)"",""Lattice (music)"",""Sheet Metal Forming"",""Stereographic projection""}",1
"{""Cued recall"",""Cued speech"",Familiarity,""Fear Conditioning"",""Memory Retrieval"",""Representation (politics)""}",1
"{Culmination,Dialectic,Philosophy,""Section (typography)""}",1
{Culpability},1
"{Culpability,Emperor,""Neurological Disorders"",Plea}",1
"{Culpability,""Ethical Theory"",""Hindsight bias"",""Jury instructions"",Scrutiny}",1
"{Culpability,Judgement,""Roman Religion""}",1
"{Culpability,""Legal Ethics""}",1
"{Culpability,""Punishment (psychology)"",Responsibility,""Retributive justice""}",1
"{Cult,""Dominance (genetics)"",Gender,""Value (mathematics)""}",1
"{Cult,Gender,Guardian}",1
"{Cult,Judgement,""Retributive justice"",""Social Norms""}",1
"{Cult,Materialism,Secularization,""Social History"",""Social order"",Veneration}",1
"{Cult,""Medieval Christianity"",""Queen (butterfly)"",""Virginity test""}",1
"{Cult,""Medieval Economic Thought"",Nothing,""Value (mathematics)""}",1
"{Cult,""Medieval history"",""Topos theory""}",1
"{Cult,""Possession (linguistics)"",""Roman Religion""}",1
"{Cult,Psyche,""Scope (computer science)""}",1
"{Cult,""Sacred Spaces""}",1
"{Cult,Visigothic}",1
"{""Cultural Analysis"",""Cultural history"",""Social History""}",1
"{""Cultural Analysis"",Diplomacy,Gift-giving,""International Relations""}",1
"{""Cultural Analysis"",Historicism,Historiography,Plea,Praxis,Scrutiny,""Transformative learning""}",1
"{""Cultural anthropology"",""Cultural Implications"",""Linguistic Borrowing"",""Semantic Changes""}",1
"{""Cultural Anthropology"",""Cultural Critique"",Materiality}",1
"{""Cultural Anthropology"",""Relevance (law)"",""Social anthropology""}",1
"{""Cultural Anthropology"",""Value (mathematics)""}",1
"{""Cultural assimilation"",""Son Preference""}",1
"{""Cultural Clusters"",""Public space""}",1
"{""Cultural Context"",Historiography,Musicology}",1
"{""Cultural Convergence""}",1
"{""Cultural Discourses"",Equality,Gender,""Public Participation"",Sexuality}",1
"{""Cultural Discourses"",""George (robot)""}",1
"{""Cultural Diversity"",""Diversity Governance"",""Ethnic Minorities"",""Minority Rights"",""National Minorities""}",1
"{""Cultural Diversity"",Download,Icon}",1
"{""Cultural Encounter"",""European Minorities"",""Family Structures"",""Social Change""}",1
"{""Cultural environment"",""Family conflict"",""Family Environment Scale"",""Family relationship"",""Marital Quality"",""Marital status""}",1
"{""Cultural Evolution"",Erasmus+,Fifteenth}",1
"{""Cultural Evolution"",""Evolutionary Games""}",1
"{""Cultural exchange"",""Cultural nationalism"",Nationalism}",1
"{""Cultural Exchange"",""Cultural Transmission"",""Intellectual Culture"",Rituals}",1
"{""Cultural Exchange"",Kingdom,""Reflection (computer programming)"",""Sri lanka""}",1
"{""Cultural Heritage"",""Cultural property""}",1
"{""Cultural history"",Denunciation,""History of ideas"",""Intellectual History"",""World history""}",1
"{""Cultural history"",Dozen,""German history"",""Postwar Germany""}",1
"{""Cultural history"",Flourishing,History,""Social history (medicine)""}",1
"{""Cultural history"",Folklore}",1
"{""Cultural History"",Excellence,Historiography}",1
"{""Cultural History"",Peasant}",1
"{""Cultural identity"",""Cultural Sustainability"",Dignity,""Identification (biology)"",Nothing}",1
"{""Cultural identity"",Diaspora,Masculinity,Miami,""National consciousness""}",1
"{""Cultural Identity"",Download,Permission}",1
"{""Cultural Identity"",Romanization}",1
"{""Cultural Imperialism"",Democracy,Imperialism,""State of Exception""}",1
"{""Cultural Imperialism"",""Regionalism (politics)""}",1
"{""Cultural Importance Indices"",Delphinium,Ethnobotany}",1
"{""Cultural Influences on Negotiation"",""Emotions in Negotiations"",""Gender Differences in Negotiation"",Intersubjectivity,Negotiation,""Trust in Negotiations""}",1
"{""Cultural Influences on Negotiation"",""Emotions in Negotiations"",""Gender Differences in Negotiation"",Negotiation,""Trust in Negotiations""}",1
"{Culturalism,Governance,""Homo economicus"",Scape}",1
"{""Cultural Landscapes""}",1
"{""Cultural Landscapes"",""Urban landscape"",""Urban Workshops""}",1
"{""Cultural Learning"",Plea}",1
"{""Cultural memory"",Emperor,Glory,""Medieval Literature"",Novella}",1
"{""Cultural Policy"",Education,Gender,Theater,Tourism}",1
"{""Cultural Policy"",""Federal republic"",""Promotion (chess)""}",1
"{""Cultural Policy"",Interdisciplinarity,""Interdisciplinary Research""}",1
"{""Cultural Politics"",ruins,""State of Exception""}",1
"{""Cultural Practices""}",1
"{""Cultural Practices"",""Family Functioning"",""Intellectual Culture"",""Religious Identity"",Stigma}",1
"{""Cultural property"",""Cultural Sustainability"",""International community"",""Scope (computer science)"",""Strengths and weaknesses""}",1
"{""Cultural property"",""Underwater Cultural Heritage""}",1
"{""Cultural Representation""}",1
"{""Cultural rights"",""Equal Treatment"",""International economic law"",""Reservation of rights"",""Rights-Based Approach"",""Social Rights""}",1
"{""Cultural rights"",""Rights-Based Approach"",""Right to health"",""Social protection"",""Social rights""}",1
"{""Cultural Semiotics"",""Cultural Studies""}",1
"{""Cultural Semiotics"",""Discourse Analysis"",Etymology,Grammaticalization,""Linguistic Historiography"",Phraseology}",1
"{""Cultural Semiotics"",Feudalism}",1
"{""Cultural Sensitivity""}",1
"{""Cultural Sociology"",Download}",1
"{""Cultural Sociology"",""Epistemic Practices"",""Philosophical Anthropology"",""Population Studies"",""Social Theory""}",1
"{""Cultural Sociology"",""Geographical Discourse Analysis""}",1
"{""Cultural Sociology"",Habermas}",1
"{""Cultural Sociology"",""Historical Sociology"",""Philosophical Anthropology"",""Social Theory"",""Sociological History""}",1
"{""Cultural Sociology"",""Historical Sociology"",""Social Innovation""}",1
"{""Cultural Studies"",Download}",1
"{""Cultural Studies"",""End of history"",Eschatology,Messianism,Temporality}",1
"{""Cultural Studies"",Feminism,Gender,""Gender Studies"",""Identity Politics""}",1
"{""Cultural Sustainability"",Gentrification,""Listing (finance)"",Nomination,""Urban regeneration""}",1
"{""Cultural Sustainability"",""Heritage Conservation"",""Intangible Heritage"",""UNESCO World Heritage""}",1
"{""Cultural Sustainability"",""Natural heritage""}",1
"{""Cultural Sustainability"",Problematization,Values}",1
"{""Cultural Sustainability"",""Scope (computer science)"",Visibility}",1
"{""Cultural Translation"",""Empirical legal studies"",""Islamic culture"",""language and law"",""Legal culture"",""Legal formalism"",""Legal Interpretation"",""Legal opinion"",""Legal pluralism""}",1
"{""Cultural Transmission""}",1
"{""Cultural Transmission"",""Hebrew Scholarly Writings""}",1
"{""Cultural Transmission"",Interactivity,Intertextuality}",1
"{""Cultural Turns""}",1
"{""Cultural values"",Honor,Trafficking}",1
"{Culture,Demography,Gender,Manuscripts,Society}",1
"{Culture,""Family Constellations"",""Mental Health"",""Psychological Functioning"",""Social Systems""}",1
"{Culture,Gender,History,Politics,Society}",1
"{Culture,Gender,Literature,Manuscripts,Society}",1
"{Culture,Globe,""Variation (astronomy)""}",1
"{Culture,History,""Human Rights"",Society,Surveillance}",1
"{Culture,History,Literature,Manuscripts,Society}",1
"{Culture,History,Manuscripts,Philosophy,Society}",1
"{Culture,Phenomenon}",1
"{Cuneiform,""Cuneiform Writing"",Mesopotamia}",1
"{Cuneiform,""Handwriting Recognition"",""Shape Matching"",""Text Detection""}",1
"{""Cuneiform Writing"",Flesh}",1
"{""Cuneiform Writing"",Oath,Orality}",1
"{Curare,Decerebration,Hindlimb,""Muscle spindle"",""Tonic (physiology)"",""Transcranial Direct Current Stimulation"",""Transcranial Magnetic Stimulation""}",1
"{""Curing of tobacco"",""Dietary Fiber"",Flue,""Tobacco leaf""}",1
"{Curiosity,Ignorance}",1
"{""Currency Crises"",""Currency union"",""European Stability Mechanism"",""Financial Liberalization"",""Sovereign Debt Crises"",""Sovereign Debt Crisis""}",1
"{""Currency union"",""Financial Integration"",""Fiscal Decentralization"",""Fiscal Policy"",""Optimum currency area"",""Political union"",""Procyclical Fiscal Policy""}",1
"{""Current liability"",Liability,Warranty}",1
"{""Current Sensing"",""Electromagnetic induction"",Lamination,""Magnetic Sensors""}",1
"{""Current Sensing"",""Electromagnetic induction"",""Linear induction motor"",""Sample (material)"",Watt,""Yoke (aeronautics)""}",1
"{""Curriculum Development"",Memorization,Nonsense}",1
"{""Curriculum Evaluation"",""Educational Research"",Education}",1
"{""Curriculum Evaluation"",""Educational Research"",Education,""Education Policy"",""Student Perceptions""}",1
"{""Cushing's Syndrome"",Hypophysectomy,Neuroradiology}",1
"{""Customary international law"",Cyberwarfare,""International community"",""Internet Governance"",""State of exception"",""State responsibility""}",1
"{""Customary international law"",""Environmental Law"",""Global Environmental Constitutionalism"",""International Environmental Law"",Obligation}",1
"{""Customary international law"",""Fair and Equitable Treatment"",""Gold standard (test)"",""International standard"",""Standard of care""}",1
"{""Customary international law"",""Fair and Equitable Treatment"",""Investment (military)"",""Investment Treaty Arbitration"",""Rest (music)""}",1
"{""Customary international law"",""Identification (biology)"",""International Economic Law"",""International Law"",""Investment (military)"",""State responsibility""}",1
"{""Customary international law"",""International community"",""International Migration"",""Refugee Law""}",1
"{""Customary international law"",""International Law"",Legislator}",1
"{""Customary international law"",""International Law"",Repeal,""State immunity"",""State responsibility""}",1
"{""Customary international law"",""Norm Conflicts"",""State responsibility""}",1
"{""Customary land"",""Deforestation (computer science)"",Frontier,""land-use change"",""Political ecology""}",1
"{""Customer Experience"",""Customer Relationship Management"",""Customer Retention Management"",""Investment Decisions"",""Omni-Channel Strategy""}",1
"{""Customer Experience"",""Customer Relationship Management"",""Customer Retention Management"",""Supply Chain Controlling"",""Technology Innovation""}",1
"{""Customer Experience"",Plug-in,""Tracking (education)""}",1
"{""Customer Loyalty""}",1
"{""Customer Relationship Management"",""Customer Retention Management"",""Perceived Value"",""Retail Economics"",""Supply Chain Controlling""}",1
"{""Customer Relationship Management"",""Customer Retention Management"",""Relationship Marketing""}",1
"{""Customer Relationship Management"",""Investment Decisions"",""Network Organization Management"",""Supply Chain Controlling""}",1
"{""Customer Relationship Management"",""Supply Chain Controlling""}",1
"{""Cutaneous Manifestations"",Diagnosis,Hematology,""Skin Physiology""}",1
"{""Cuticular Wax"",""Fatty alcohol"",Plasticizer}",1
"{Cutis,Dermatomyositis,""Epidermolysis Bullosa"",""Juvenile Dermatomyositis"",""Myositis-specific Antibodies"",Polymyositis}",1
"{""Cutting Parameters"",Machining,""Metal Cutting""}",1
"{""Cutting Processes"",""Glass furnace""}",1
"{Cyanine,""Cycloaddition Reactions"",""Molecular Structure""}",1
"{Cyanine,""Heterocyclic Compounds"",""Oxonium ion""}",1
"{Cyanine,Photosensitizers,Piperidine}",1
{Cyberbiosecurity},1
"{Cyberbullying,""Hate Speech"",""Offensive Language"",""Online Communication"",""Online Harassment""}",1
"{Cybercrime,""Dark Web"",Directive,Harmonization,""Online Fraud"",Victimization}",1
"{Cybercrime,""Data Forensics"",""Digital Forensics"",""Forensic Investigation"",""Patient Complaints""}",1
"{Cybercrime,""Network governance"",""Private network"",""Regulatory Capitalism"",""Resilience (materials science)""}",1
"{""Cyber Deterrence"",""Cyber Warfare"",Cyberwarfare,Deterrence,""Digital Sovereignty"",""Information Warfare""}",1
"{""Cyber Security""}",1
"{""Cyber Space"",""Due diligence"",Obligation,""State Responsibility""}",1
"{Cyberstalking,""Help-Seeking Behaviors"",Stalking}",1
"{""Cyber threats"",""Information sharing"",""Resilience (materials science)"",""Secure Computation""}",1
"{Cyberwarfare,Dehumanization,""International Law""}",1
"{Cyberwarfare,""Global Governance"",Governmentality}",1
"{Cyberwarfare,""Information Warfare""}",1
"{""Cyber Warfare"",Cyberwarfare,""Information Operations"",Peacetime}",1
"{""Cyclic Carbonates""}",1
"{""Cyclization Enzymes""}",1
"{""Cyclization Reactions"",Pyran}",1
"{""Cycloaddition Reactions"",Cyclobutene,""Maleic anhydride""}",1
"{""Cycloaddition Reactions"",""Functionalized Compounds"",Iminofurans,""Microwave-Assisted Synthesis"",Thiophenes}",1
"{""Cycloaddition Reactions"",""Reactivity (psychology)""}",1
"{""Cyclopentadienyl complex"",Diazomethane,""Transition Metal Complexes""}",1
"{""Cyclopentadienyl complex"",Dicyclopentadiene,""EPDM rubber"",""Homogeneous Catalysts"",Norbornene}",1
"{""Cyclopentadienyl complex"",""Transition-Metal Chemistry""}",1
"{Cyclops,""Metal Toxicity"",Toxicant}",1
{Cystectomy},1
"{Cystectomy,""Urethral Diverticulum"",""Urethral Stricture Disease"",""Urothelial Carcinoma"",Urotrauma}",1
{Cystinosis},1
"{""cytokine signaling""}",1
"{""Dairy Calves""}",1
"{""Damage Modeling""}",1
"{Damnation,Gift-giving,Homily,Pulpit,Sermon,Witch}",1
"{Damnation,Heresy,""Separation of church and state""}",1
{Danish},1
"{Danish,Eleventh,Kingdom,Ninth,""Settlement (finance)"",""Viking Age""}",1
"{Danish,History,Ignorance,Kingdom,Realm,Throne}",1
"{Danish,""Japanese art"",Kingdom,""Medieval art"",Polychrome,Sculpture,""Viking Age""}",1
"{Danish,Kingdom,Norwegian,Reign,""Theme (computing)"",Unification,""Viking Age""}",1
"{Danish,Kingdom,""Old Norse"",Scandinavia,""Viking Age""}",1
"{Danish,""Maritime Archaeology""}",1
"{Danish,Muscovite}",1
"{Danish,Mythology,Witch}",1
"{Danish,""Viking Age""}",1
"{""Dark Web""}",1
"{""Darwinism in Economics"",""Depression (economics)"",""Economic Thought"",""Great Depression""}",1
"{""Darwinism in Economics"",Militarism,""Opposition (politics)"",""Protestant work ethic""}",1
"{""Darwinism in Economics"",Pessimism}",1
"{""Darwinism in Economics"",""Value (mathematics)""}",1
{DASS},1
"{""Data access"",""Data Privacy"",""Software portability""}",1
"{""Data analysis""}",1
"{""Data Analysis"",""Human Protein Atlas"",""Tissue microarray""}",1
"{""Data Analysis"",""Lead (geology)""}",1
"{""Data Analysis"",""Legal expert system"",""Representation (politics)""}",1
"{""Data breach"",""Data Integration""}",1
"{""Data breach"",Proposition,""Regulatory Challenges""}",1
"{""Data Citation"",""Data Sharing"",""Open Science"",""Research Data"",""Scientific Data Management""}",1
"{""Data Cleaning"",""Data Reuse"",""Data Sharing"",""Open Science"",""Scientific Data Management""}",1
"{""Data Cleaning"",""Semantic Web"",""Static Analysis"",""Vulnerability Detection"",""Web Application""}",1
"{""Data exchange"",""Freedom of information"",""Information exchange"",""Privacy Concerns""}",1
"{""Data extraction"",Detection,Plaintext}",1
"{""Data governance"",""Data Privacy""}",1
"{""Data governance"",""Data Protection"",""Data set"",""Position (finance)""}",1
"{""Data governance"",""Digital Twin""}",1
"{""Data governance"",""Open Data"",""Open government"",""Public value""}",1
"{""Data Hiding"",""Image Authentication"",""Image Forgery Detection"",Invisibility,""Real-time Tracking"",""Visual Tracking""}",1
"{""Data Integration"",""Data Sharing"",""Research Data"",""Scientific Data Management""}",1
"{""Data Management"",Heaven,nobody,Phenomenon}",1
"{""Data Mining"",""Data Privacy"",""Information Disclosure"",""Machine Learning"",""Privacy Preservation""}",1
"{""Data Privacy"",""Data Protection"",""Digital Rights"",Directive,""Privacy Concerns"",""Privacy Regulations"",""Software portability""}",1
"{""Data Privacy"",""Data Protection"",""Digital Rights"",""Exclusive right"",Judgement,""Privacy Concerns"",""Scope (computer science)""}",1
"{""Data Privacy"",""Data Protection"",""Digital Rights"",""Privacy Concerns"",""Privacy Regulations"",Proclamation}",1
"{""Data Privacy"",""Data Protection"",Directive,""Privacy Regulations""}",1
"{""Data Privacy"",""Data Protection"",""Privacy Concerns"",""Privacy Regulations""}",1
"{""Data Privacy"",""Data Protection"",""Privacy Regulations""}",1
"{""Data Privacy"",""Data sharing"",""Open government"",""Privacy Concerns""}",1
"{""Data Privacy"",""Differential Privacy"",""Philosophy of technology"",""Privacy Concerns"",""Privacy Preservation""}",1
"{""Data Privacy"",""Digital economy"",""Personal computer"",""Privacy Concerns"",""Privacy Regulations"",""Value (mathematics)""}",1
"{""Data Privacy"",""Digital Rights"",Dignity,""Freedom of expression"",""Freedom of thought"",""Privacy Regulations""}",1
"{""Data Privacy"",Directive}",1
"{""Data Privacy"",Directive,Legibility,Subjectivism}",1
"{""Data Privacy"",Directive,""Open government""}",1
"{""Data Privacy"",""Fundamental Rights"",""Information Disclosure"",""Privacy Concerns"",""Privacy Protection""}",1
"{""Data Privacy"",""Information Disclosure"",Surveillance,Trust}",1
"{""Data Privacy"",""Internet governance"",""Online Behavior"",""Online Social Networks"",""Privacy Concerns"",Surveillance}",1
"{""Data Privacy"",Obligation,Transparency}",1
"{""Data Privacy"",""Online Behavior"",""Personalization Paradox"",""Privacy Concerns""}",1
"{""Data Privacy"",""Personalization Paradox"",""Privacy Concerns""}",1
"{""Data Privacy"",""Position (finance)""}",1
"{""Data Privacy"",""Principle of legality"",""Privacy Concerns""}",1
"{""Data Privacy"",""Privacy Concerns"",""Privacy Preservation""}",1
"{""Data Privacy"",""Privacy Concerns"",""Privacy Preservation"",""Privacy-Preserving Computation"",""Secure Computation""}",1
"{""Data Privacy Laws"",Excellence,""Moral rights"",""Scope (computer science)""}",1
"{""Data processing"",""Industry Transformation"",Insurance,""Unstructured data"",""Value (mathematics)""}",1
"{""Data processing"",""Relevance (law)"",""Scope (computer science)""}",1
"{""Data Protection"",""Legal science""}",1
"{""Data Protection"",""Privacy protection"",""Privacy Regulations""}",1
"{""Data Provenance"",""Data Records Mining"",""File Sharing"",""Information Retrieval"",""Tracking (education)"",""Web Data Extraction""}",1
"{""Data retention"",Domino,""European Legal Systems"",Expansive}",1
"{""Data scrubbing"",""Energy Efficiency"",""Thermal efficiency""}",1
"{""Data set"",""Geological Mapping"",""Lithological Mapping"",""Mineral Prospectivity"",""Mineral resource classification"",""Road Extraction"",""Surface mining""}",1
"{""Data set"",""Secure Computation""}",1
"{""Data Sharing"",""Linked Data"",""Open Science"",""Scientific Data Management"",""Scientific modelling"",""Scientific Workflows""}",1
"{""Data Sharing"",""Linked Data"",""Research Data"",""Resource Description and Access"",""Scientific Data Management""}",1
"{""Data Sharing"",Materiality}",1
"{""Data Sharing"",""Open Science"",""Research Data"",""Research Evaluation"",""Scientific Data Management""}",1
"{""Data Sharing"",""Open Science"",""Research Data"",""Scientific Data Management""}",1
"{""Data Sharing"",RDM,""Research Data"",""Scientific Data Management""}",1
{Datasheet},1
"{Daughter,Diabetes,""Eating Disorders"",""Family systems theory"",""Feeding Problems"",Individuation,""Mealtime Behaviors"",""Type 1 Diabetes""}",1
"{Daughter,Disadvantage,""Inheritance (genetic algorithm)"",""Marital status"",Peasant,""Successor cardinal""}",1
"{Daughter,""Living room"",Soul,Stairs}",1
"{""Dead sea"",""Dead Sea Scrolls"",""Desert (philosophy)"",""Identification (biology)"",Sect}",1
"{""Deadweight loss"",Insurance,""Social cost"",""Social insurance""}",1
"{Dealloying,""Metal-Organic Frameworks"",Nanoporous,""Nanoporous Metals""}",1
"{""Deborah number"",""Polymer Crystallization"",""Wedge (geometry)""}",1
"{""Debt crisis"",""European debt crisis"",""Financial Integration""}",1
"{""Debt crisis"",""European Stability Mechanism""}",1
"{""Debt Enforcement""}",1
"{""Debt Enforcement"",""Derivative (finance)"",Phenomenon}",1
"{Debtor,Default,""Legal history"",""Possession (linguistics)""}",1
"{Debtor,""European Company Law""}",1
"{Debtor,""European Private Law""}",1
"{Debtor,""European Private Law"",""Security interest""}",1
"{Debtor,""European Stability Mechanism"",""Member state"",""Position (finance)""}",1
"{Debtor,Eviction,Pledge,""Property Rights""}",1
"{Debtor,""Fiduciary Duty"",Obligation,Psychic}",1
"{Debtor,""Force majeure"",Impossibility,""Legal Harmonization"",Unification}",1
"{Debtor,Legislator,Pledge,Restructuring,""Turnaround Strategies""}",1
"{Debtor,Pledge,""Possession (linguistics)"",""Security interest""}",1
"{Debtor,Restructuring,""Stigma (botany)"",""Turnaround Strategies""}",1
"{""Debtor-in-possession Financing"",""Equity (law)"",""Subordination (linguistics)""}",1
"{""Debtor-in-possession Financing"",Externality}",1
"{""Debtor-in-possession Financing"",""Project finance"",""Stakeholder Management""}",1
"{""Debtor-in-possession Financing"",Remuneration}",1
"{""Debtor-in-possession Financing"",""Shareholder loan""}",1
"{""Debt ratio"",""Government Debt"",""Senior debt""}",1
"{""Debt restructuring"",Externality,""Government Debt"",""Local Government"",""Local Government Finance"",Restructuring}",1
"{""Debt restructuring"",Governance,Restructuring}",1
{Decadence},1
