"keyword","item_cnt"
Integrated Care,3
Neurology,3
Automation,3
Justiciability,3
Neuroenhancement,3
Juvenile Justice,3
Neural Correlates,3
Federal jurisdiction,3
Inquisition,3
Toxicological Assessment,3
Net asset value,3
Kantian Ethics,3
Hellenistic Philosophy,3
Neologisms,3
File Sharing,3
Negotiable instrument,3
Male Circumcision,3
Natural Philosophy,3
Knowledge Sharing,3
Natural Language Processing,3
Nation-Building,3
National Minorities,3
Labor Theory of Value,3
Fiscal Aid,3
Lameness in Animals,3
Language Acquisition,3
Technology Development,3
Narration,3
Laptop,3
Indo-European,3
Lawmaking,3
Law of war,3
Fossil Fuel Subsidies,3
Fourth Amendment,3
Hellenistic Period,3
Mod,3
Mobile IP,3
Telos,3
Mobile DRM,3
Imprisonment,3
Minority Rights,3
Minor (academic),3
Miller,3
French Liberalism,3
Topos theory,3
Youth Extremism,3
Legal Evidence,3
Temporal Experience,3
Migrant Health,3
Immigrant Entrepreneurship,3
Gamer Identity,3
Temporary Employment,3
Identity Theft,3
Microsoft Office,3
Theobald,3
Miami,3
Metaphysics,3
ICU Care,3
Gene Editing,3
Absolute monarchy,3
Merkel cell,3
Legal Personhood,3
Mental Health Care,3
Bereavement,3
Legal practice,3
Beneficiary,3
Human settlement,3
Medieval Trade,3
Benchmark (surveying),3
Human-Animal Bond,3
Hospitality,3
Global Justice,3
Lexical Influence,3
Globe,3
Medical Imaging,3
Homicide,3
Homeschooling,3
Göran,3
Gospel Translation,3
Graffiti,3
Tiger,3
Linguistic Reform,3
Mathematical Information Retrieval,3
Materiality of Texts,3
Third-Party Logistics,3
Mass Communication,3
Market Structure,3
Market Efficiency,3
Crowdfunding,3
Cross-linguistic Analysis,3
Cross-Border Mobility,3
Criticism,3
Cultural Encounter,3
Critical edition,3
Crisis Management,3
Criminal Trials,3
Cultural Integration,3
Criminal Poisoning,3
Unintentional Injuries,3
Annulment,3
Criminality,3
Representation,3
Realpolitik,2
Absolute (philosophy),2
Accident (philosophy),2
Accident Prevention,2
Ackermann function,2
Administration of justice,2
Adulthood,2
Adverse Drug Reactions,2
Afghanistan,2
Agency Relationships,2
Agility,2
Agreement,2
agricultural subsidies,2
Aircraft Scheduling,2
Alma mater,2
Alpine Skiing,2
Altar,2
Ancient Egypt,2
Ancient Harbours,2
Ancient Magic,2
Ancient Mathematicians,2
Anglo saxon,2
Animal Abuse,2
Animal Trials,2
Apathy,2
Aquinas,2
Archaeology of Agriculture,2
Architectural Symbolism,2
Archival Activism,2
Art Theory,2
Aside,2
Asset Pricing,2
Assisted Reproductive Technology,2
Astrology,2
Attack Graphs,2
Audio Storytelling,2
Bach,2
Ball (mathematics),2
Baltic sea,2
Band 3,2
Banking Sector,2
Banking Union,2
Barbarian,2
Battery Management Systems,2
Battery Technology,2
Battlefield,2
Bioanalytical Methods,2
Blueprint,2
Booster (rocketry),2
Brand Performance,2
Bronze,2
Bruch's membrane,2
Building Information Modeling,2
Burden of proof,2
Bureaucracy,2
Business Process,2
Cadastre,2
Campaign Contributions,2
Canine,2
Cantigas de Santa Maria,2
Capital Accumulation,2
Captive Animals,2
Captivity,2
Casebook,2
Channel Modeling,2
China,2
Choir,2
Citizenship,2
Civil Engineering,2
Civil Rights,2
Clan,2
Climate Justice,2
Climate protection,2
Clinical Decision Support,2
Clothing,2
Cloud Computing,2
Coastal Zone Management,2
Cognitive Enhancement,2
Cognitive Processes,2
Collaboration,2
Collaborative Manufacturing,2
Collation,2
Collective action,2
Colonial Society,2
Coma (optics),2
Commons and Environmental Regulation,2
Comparative Literature,2
Compendium,2
Compensation,2
Competency Assessment,2
Competitive Balance,2
Complaint,2
Complicity,2
Compromise,2
Compulsive Sexual Behavior,2
Conceptus,2
Conciliation,2
Concussion,2
Conditionality,2
Conducted Electrical Weapons,2
Conformance Checking,2
Conscious Awareness,2
Consolidation (business),2
Constitutive Modeling,2
Consumption (sociology),2
Content (measure theory),2
Contracts,2
Control Strategies,2
Cornerstone,2
Coronation,2
Corporate Biodiversity Accountability,2
Corporate Ethics,2
Corruption,2
Cosmetic Surgery,2
Cost-effectiveness Analysis,2
Counter terrorism,2
Court Decisions,2
Credit Ratings,2
Crime,2
Criminalization,2
Criminal jurisdiction,2
Criminal liability,2
Cryptanalysis,2
Cultural Context,2
Cultural Memory,2
Cultural Practices,2
Cultural Sociology,2
Curriculum,2
Curry,2
Customer Behavior,2
Cyberpsychology,2
Dark Web,2
Data retention,2
Data Warehousing,2
Dead end,2
Deed,2
Default Risk,2
Democratization,2
Denial of Pregnancy,2
Dependability Engineering,2
Detonation-to-Deflagration Transition,2
Development,2
Deviance (statistics),2
Diagnosis,2
Diagnostic Errors,2
Dialectic,2
Diaspora Entrepreneurship,2
Dictionaries,2
Digital Marketing,2
Digital Photography,2
Diplomatic Studies,2
Dipper,2
Disinfection,2
Dissociation,2
Distributed Storage,2
Divergence (linguistics),2
Diversity,2
Diversity Governance,2
Dividend Policy,2
Divine Providence,2
Document Reconstruction,2
Do no harm,2
Donor Management,2
Dowry,2
Driver Behavior,2
Driver Distraction,2
Drug Development,2
Drug Pricing,2
Early Republic,2
Ecology,2
Economic Impacts,2
Economic rent,2
Ecosystem Functioning,2
Editor in chief,2
Efficiency,2
eHealth,2
Electronic Properties,2
Emergency Preparedness,2
Emissions,2
Emotional Abuse,2
Empirical Ethics,2
Empirical research,2
Employment,2
Endurance Training,2
Energy Resilience,2
Enforcement Strategies,2
Environmental Participation,2
Epicureanism,2
Equine Behaviour,2
Escher,2
Estonian,2
Ethical Climate,2
Ethical Codes,2
Ethical Dilemmas,2
Ethical Issues,2
Ethnic,2
Ethnic Minority Business,2
EU Enlargement,2
Evidence Law,2
Evidential Arguments,2
Evolutionary Economics,2
Excellence,2
Exchange Rate Regimes,2
Exclusive economic zone,2
Expression (computer science),2
Expropriation,2
Falcon,2
False accusation,2
Family Support,2
FAUST,2
Federal court,2
Feminism,2
Feminist Crime Fiction,2
Fictionality,2
Financial Constraints,2
Fiscal Decentralization,2
Flexibility in Workflows,2
Food Classification,2
Force majeure,2
Forensic Pathology,2
Freedom of Expression,2
Free movement,2
Friction Reduction,2
Frost (temperature),2
Functional Foods,2
Game Culture,2
Geiger counter,2
Gender discrimination,2
Gender Mainstreaming,2
Gender Stereotyping,2
Generation Management,2
Geoengineering,2
Global Sourcing,2
Global Treatment Budgets,2
Good Administration,2
Gray (unit),2
Greeks,2
Green Procurement,2
Guantanamo,2
Guardian,2
Habitus,2
Hammer,2
Harassment,2
Hardware-in-the-Loop,2
Hate crime,2
Healthcare Ethics,2
Hebrew,2
Hebrew Bible,2
Herbal Medicines,2
Hiring,2
Historical Diplomacy,2
Historical Institutions,2
Historical Maps,2
Hofmeister series,2
Holy See,2
Homosexuality,2
Horse Nutrition,2
Hospital Preparedness,2
Hotspot (geology),2
Human Dignity,2
Human Inborn Errors,2
Humanism,2
Hydrodynamic Lubrication,2
Icelandic,2
Identification (biology),2
Ignorance,2
Immediacy,2
Immunization Coverage,2
Incarceration Effects,2
Inclusion–exclusion principle,2
Inclusive Education,2
Incoterms,2
Infant Crying,2
Infimum and supremum,2
Inflammation,2
Information Retrieval System,2
Information Security,2
Infrastructure Inspection,2
Institutional Investors,2
Integrated Marketing Communication,2
Interactive Exhibits,2
Interdiction,2
Interest Groups,2
Interim,2
International community,2
International Intervention,2
International Migration,2
International peace,2
International security,2
International Space Law,2
Interpolation (computer graphics),2
Interregnum,2
Intuition,2
Investment protection,2
Isolation (microbiology),2
Jeremy bentham,2
Jewish identity,2
Journalism Culture,2
Judicial interpretation,2
Judicial opinion,2
Judicial Process,2
Judicial Systems,2
Jus ad bellum,2
Just War Theory,2
Kafka,2
Knowledge Engineering,2
Krüppel,2
Land Fragmentation,2
Landlord,2
Land Tenure,2
land-use change,2
land values,2
Lane Detection,2
Language,2
Language change,2
Language Learning,2
Law and Religion,2
Law library,2
Leak Detection,2
Leasehold estate,2
Legal certainty,2
Legal education,2
Legal Implications,2
Legal norm,2
Legal status,2
Liberal democracy,2
Lifestyle Migration,2
Lightweight Materials,2
Linum,2
Literary Tradition,2
Literary Translation,2
Living Wills,2
Locale (computer software),2
Location-Based Services,2
Macedonian,2
Machiavelli,2
Macroprudential Regulation,2
Magistrate,2
Maltreatment,2
Management Accounting,2
Manifesto,2
Margin of appreciation,2
Marine Genetic Resources,2
Maritime Security,2
Maritime Transport,2
Market Abuse Directive,2
Marketing,2
Materials Science,2
Mathematical Traditions,2
Maxim,2
Mediator,2
Medical History,2
Medieval history,2
Medieval Spain,2
Medieval Synagogue,2
Memorandum,2
Metallographic Study,2
Metal Recovery,2
Migration and Mission,2
Migration Background,2
Military Expenditure,2
Miscellany,2
Misconduct,2
Mobility as a Service,2
Model Fidelity,2
Model Predictive Control,2
Moisture Buffering,2
Moral Realism,2
Movie Revenues,2
Multinational Federations,2
Multinational Firms,2
Multiplex,2
Mura,2
Museum Studies,2
Muslim Identity,2
Napoleonic Wars,2
Natura 2000,2
Naturalisation,2
Naturalization,2
Networked Individualism,2
Neuroscience,2
Neuroscience and Psychoanalysis,2
Nonparametric Statistics,2
Nothing,2
Numerus clausus,2
Nutrient Content,2
Nutrition Labeling,2
Objectivity (philosophy),2
Officer,2
Ombudsman Institution,2
Online Branding,2
Online Communities,2
Online Fraud,2
Open Source Software,2
Opus,2
Original meaning,2
Ostalgie,2
Ownership,2
Palimpsest,2
Panorama,2
Parallel Computing,2
Parchment,2
Participative Evaluation,2
Patient Complaints,2
Patient Outcomes,2
Patriot Act,2
Pedagogical Conditions,2
Peer-to-Peer Accommodation,2
Penetrating Brain Injury,2
Penitential,2
Performative utterance,2
Person-Centered Medicine,2
Personhood,2
Perversion,2
Petri dish,2
Philosophy of Law,2
Phylogeny,2
Pig-to-Human Transplantation,2
Platelet Transfusion,2
Plenum space,2
Podcasting,2
Poetry,2
Political Islam,2
Political Science,2
Political Theory,2
Pollock,2
Popularity,2
Population Studies,2
Portugal,2
Post-Communist,2
Post-Socialist Urbanism,2
Precautionary principle,2
Predictive,2
Preparedness,2
Prestige,2
Presupposition,2
Prevalence,2
Prevention Strategies,2
Primary Prevention,2
Primer (cosmetics),2
Privacy Protection,2
Private rights,2
Product liability,2
Professional Responsibility,2
Prognostic Disclosure,2
Promulgation,2
Propaganda,2
Pro re nata,2
Proximity Labeling,2
Psychological,2
Psychological Impact,2
Psychological Interventions,2
Psychopharmacology,2
Public authority,2
Public Health Interventions,2
Public Opinion,2
Public Theology,2
Puma,2
Rab,2
Racial,2
Radiology,2
rationalization,2
Ravenna,2
Reasonable Doubt,2
Redaction,2
Redress,2
Reentry Challenges,2
Refugee Entrepreneurship,2
Refugee Law,2
Regioselective Synthesis,2
Regulatory Impact,2
Regulatory Requirements,2
Regulatory state,2
Religious Experience,2
Religious Syncretism,2
Remittances,2
Remuneration,2
Renaissance Florence,2
Resettlement,2
Resilience,2
Resizing,2
Res judicata,2
Resolver,2
Restorative Justice,2
Retirement Adjustment,2
Revocation,2
Right to die,2
Risk Factors,2
Risk Perception,2
Roaming,2
Rousseau,2
Rowan,2
Sacred Spaces,2
Sanction Effectiveness,2
Schmidt reaction,2
Schmitt trigger,2
Scholasticism,2
Science,2
Science Diplomacy,2
Scots,2
Secessionism,2
Secularization,2
Secure Multi-party Computation,2
Security Awareness,2
Security Council,2
Security Studies,2
Self defense,2
Semiotics,2
Sensu,2
Session Initiation Protocol (SIP),2
Sexual Assault Perpetration,2
Sexual Orientation,2
Shariah Supervision,2
Silence,2
Skiing,2
Skill Development,2
Slave Resistance,2
Slovak,2
Small Area Estimation,2
Smart Contracts,2
Social Attitudes,2
Social Perception,2
Social Responsibility,2
Socio-Economic Rights,2
Sociology of Translation,2
Sociopolitical Transformation,2
Socio-Technical Systems,2
Software Certification,2
Software Defect Prediction,2
Software Diversity,2
Software Maintenance,2
Solidification Modeling,2
Sonne,2
Source Code Analysis,2
Space Diplomacy,2
Space Technology Transfer,2
Spatial Planning,2
Spelling,2
Sponsorship Effects,2
Staff Perceptions,2
Standards of Proof,2
Start up,2
State responsibility,2
Statistical Modeling,2
Statutory interpretation,2
Stefan problem,2
Steiner tree problem,2
STELLA (programming language),2
Stem Cell Regulation,2
Stigma,2
Storytelling,2
Structural Adhesives,2
Suicide Bereavement,2
Supply Diversity,2
Support Needs,2
Surrender,2
Suspension (topology),2
Sustainability of Outer Space Activities,2
Sustainable Construction,2
Symbol (formal),2
Tax Compliance,2
Taxis,2
Technology Roadmapping,2
Telecommunications,2
Telemetry Monitoring,2
Text Mining,2
Textual Cohesion,2
Thermodynamics,2
Thermoregulation,2
Tire-Road Friction Estimation,2
Toleration,2
Tourism,2
Tourism and Migration,2
Trade Routes,2
Trade Unions,2
Traffic Accidents,2
Traffic Signs,2
Transdisciplinarity,2
Transfusion-related Acute Lung Injury,2
Transition to Low-Carbon Economy,2
transnational activism,2
Trauma Theory,2
Travelers' Diarrhea,2
Treasure,2
Treatment,2
Twitter,2
Ullmann reaction,2
Uncertainty Handling,2
UNCLOS,2
UNESCO World Heritage,2
United Nations Charter,2
Unjust enrichment,2
Unproven Therapies,2
Urban Geography,2
Urban Traffic,2
User Engagement,2
Vacant Land Management,2
Vichy Regime,2
Virtual Reality,2
Virtual Worlds,2
Virtue Ethics,2
Vision,2
Vocational Competencies,2
Wales,2
Water Resources Management,2
Watt,2
West germany,2
Wetland Mitigation,2
Whistleblowing,2
White (mutation),2
Wine Quality,2
Witch,2
Work Flexibility,2
Working Time Directive,2
Workplace Safety,2
Work Systems,2
Youth Homelessness,2
Zero (linguistics),2
Maternal Filicide,1
Mathematical Concepts,1
Mathematical Evolution,1
Green paper,1
Green IT,1
Tourism Growth,1
Mathematics of Music,1
Math Question Answering,1
Matter wave,1
Toxicity Assessment,1
Great Depression,1
Maya,1
Mealtime Behaviors,1
Mechanical Properties,1
Media,1
Graduate Record Examinations,1
Media Exposure,1
Government Policies,1
Gothic Art,1
Goodwill,1
Gold ore,1
Autonomous Vehicle Adoption,1
Medical Discoveries,1
Medical Error Analysis,1
Gnosticism,1
Gloss (optics),1
Medical Gases,1
Traceability,1
Glossary,1
Medical Interpreters,1
Medicalization,1
Medically Unexplained Symptoms,1
Global Water Resources,1
Medicinal Chemistry,1
Medicinal Properties,1
Medicine,1
Global Public Goods,1
Global public good,1
Global justice,1
Globalization of Space Activities,1
Globalisation,1
Global History,1
Global Genuine Progress,1
Global Cybersecurity,1
TRACE (psycholinguistics),1
Global Christianity,1
Germany,1
Automotive SPICE,1
Automotive Engineering,1
Germanic languages,1
German history,1
German government,1
Mediterranean Relations,1
Geotechnical Design,1
Megalithic Structures,1
Melanocyte,1
Melatonin,1
Melody,1
Geopositioning Accuracy,1
Geoarchaeology,1
Automated Web Service Discovery,1
Memoria,1
Genome Engineering,1
Memory Analysis,1
Genius,1
Geneva Conventions,1
Mental Illness,1
Mergers and acquisitions,1
Genetics,1
Generosity,1
Metacognition,1
Metal Ion-Imprinted Polymers,1
Autocracy,1
Authority,1
Gender politics,1
Method Validation,1
Gender Norms,1
Gender Equity,1
Microblogging,1
Microservices,1
Gender-based Violence,1
Microstructural Characterization,1
Gandhi,1
Migraine Prevention,1
Funerary Traditions,1
Migrant Organizations,1
Authoritarianism,1
Authenticated Encryption,1
Migration Control,1
Functional Safety,1
Fuel Chemistry,1
Military Education,1
Trade Regulations,1
Frontier,1
French Literature,1
Free Will Defense,1
Mimetic Theory,1
Free speech,1
Minimum Force Philosophy,1
Free/Libre Open Source Software,1
Free flow,1
Abbé,1
Winery Visits,1
Misdemeanor,1
Missionary Linguistics,1
Freedom of navigation,1
Mobile Agents,1
Freedom of contract,1
Freedom of association,1
Freedman,1
Franchising,1
France,1
Wine Yeasts,1
Frame of reference,1
Mode (computer interface),1
Traffic Assignment,1
Fragmented Objects,1
Auguste Comte,1
Moderation,1
Modern history,1
Modernism (music),1
Fractography,1
Traffic Management,1
FPGA-Based Emulation,1
Fourth Dimension,1
Monetary Policy,1
Forum shopping,1
Formulary,1
Money Laundering,1
Mongol Empire,1
Formality,1
Monster,1
Montenegro,1
Formalism (music),1
Moral economy,1
Forensic Toxicology,1
Moral philosophy,1
Auditing,1
Forensic Genetics,1
Moral theology,1
Foreclosure,1
Mount,1
Movie Critics,1
Wireless Computing,1
Multi-Criteria Analysis,1
Forced migration,1
Forced Labour,1
Forced Laborers,1
Food Sovereignty,1
Food Security,1
Audit Committee,1
Transatlantic Slave Trade,1
Multi-objective,1
Transboundary Water,1
Multiplex Genome Editing,1
Multi-touch,1
Multitude,1
Abandonment (legal),1
Museum Environments,1
Museum Learning,1
Food Loss,1
Transfer Path Analysis,1
Music,1
Music Criticism,1
Music Generation,1
Music Industry,1
Musicology,1
Audit committee,1
Folklore,1
Muslim Readings of Gospels,1
Flourishing,1
Mythology,1
Names,1
Namibia,1
Nap,1
Transformative learning,1
FLEX,1
Narrative Ethics,1
Flame Acceleration,1
Fiscal Risks,1
First Amendment,1
National Human Rights Institutions,1
Firmware,1
National library,1
Firm Performance,1
Firm Competitiveness,1
NATO,1
Wolff rearrangement,1
Transitional justice,1
Audience measurement,1
Firearm Violence,1
Financial Markets,1
Natural order,1
Financial Management,1
Natural Rights,1
Financial Liberalization,1
Financial Contracts,1
Near East,1
Fin,1
Film Industry,1
Neo-Aramaic Dialects,1
File Systems,1
Neoliberalism (international relations),1
File sharing,1
Neptune,1
Feminist Theory,1
Net neutrality,1
Feminist Legal Theory,1
Transition to Adulthood,1
Network Effects,1
Network Management,1
Network Marketing,1
Fell,1
Federal state,1
Federal republic,1
Network theory,1
Federalism,1
Neurocognitive Systems,1
Federal common law,1
Feature Extraction,1
Neurological Disorders,1
Fault Detection and Correction,1
Neuroprotection,1
Women's Rights,1
Attic,1
Fatherland,1
Fashion,1
New guinea,1
New horizons,1
New Right,1
Fascism,1
Family Support Policies,1
Family Education,1
Family and Community Involvement,1
Nitroaldol reaction,1
Noise Mitigation,1
Nomadic Societies,1
Nominalism,1
Nomination,1
Fairy Tales,1
Fair trial,1
Non-Formal Learning,1
Noninferiority Trials,1
Translational Research,1
Nonsense,1
NonStop,1
Factoring,1
Nonverbal Behavior,1
Fact-Checking,1
Facility Layout,1
Facial Rejuvenation,1
Extremism,1
Extraterritoriality,1
Extracorporeal Treatments,1
Externality,1
North Germanic languages,1
Norwegian,1
EXPOSE,1
Nostra Aetate,1
Translator Competence,1
Exportation,1
Explosion Characteristics,1
NOx Reduction,1
Nudge theory,1
Null (SQL),1
Numerical Solution,1
Transmission Planning,1
Experimentalism,1
Nuremberg trials,1
Nurse-Physician Collaboration,1
Advisory opinion,1
Nutrition,1
Nutritional Evaluation,1
Transnational Collaboration,1
Expansive,1
Obesity in Horses,1
Objectification,1
Asylum,1
Executor,1
Executive power,1
Executive order,1
Ocean Governance,1
Executive branch,1
Exclusive right,1
Transnational Entrepreneurship,1
Exclusive jurisdiction,1
Exclusionary rule,1
Exceptionalism,1
Ogden,1
Transnational Families,1
Omen,1
Ex-ante,1
One-Child Policy,1
Evolutionary View,1
Evasion (ethics),1
Transnational Law,1
Eusebian Apparatus,1
ASTRA,1
Euros,1
Transnational Networks,1
European community,1
Europe,1
Eurobond,1
Eurasian Exchange,1
EU legislation,1
Open government,1
Eucharist,1
Open science,1
Open source hardware,1
Assyria,1
Opportunism,1
Ethnomusicology,1
Artistic patronage,1
Oral Complications,1
Orality,1
Oral Manifestations,1
Ethnography,1
Organised crime,1
Ethnographic Research,1
Ethnic relations,1
Ethnic Minority,1
Ethnic Minorities,1
Oriented strand board,1
Transport Layer Security (TLS),1
Orthorectification,1
Ethnicity,1
Trauma,1
Ostracism,1
Ottoman empire,1
Ethnic Diversity,1
Outcomes,1
Ethnic Cleansing,1
Ethiopia,1
Ethics in Science,1
Advice (programming),1
Ethics committee,1
P,1
Pacific,1
Palaeography,1
Palette (painting),1
Traumatic Brain Injury,1
Ethical Implications,1
Ethical Guidelines,1
Ethical Decision Making,1
Pandemic Impact,1
Estate planning,1
Adverse Childhood Experiences,1
Esports,1
Papal infallibility,1
Eritrea,1
Ergonomics,1
Adult Education,1
Paraphrase,1
Treasury,1
Erasure Coding,1
Parental Mediation,1
Parenting Stress,1
Pareto efficiency,1
Equine Genetics,1
Artistic Expression,1
Participatory Art,1
Equal Protection Clause,1
Equality Act,1
party positions,1
Epoxy Binders,1
Epistemology,1
Epigenetic Remodeling,1
Epidemiology,1
Enzymatic Tagging,1
Paternalism,1
Environmental Valuation,1
Path Tracking,1
Pathway Implementation,1
Environmental Risks,1
Environmental Regulation,1
Aarhus Convention,1
Environmental Refugees,1
Patient Experience,1
Patient Monitoring,1
Artistic Exchange,1
Patient-Physician Language Concordance,1
Environmental quality,1
Articulation (sociology),1
Patriotism,1
Environmental Protection,1
Environmental Monitoring,1
Environmental Legislation,1
Environmental justice,1
Peacekeeping Operations,1
Peace treaty,1
Peasant,1
Treaty of Lisbon,1
Pedagogical History,1
Pedagogical Research,1
Environmental Governance,1
Pedestrian Behavior,1
Pedestrian Safety,1
Pediatric Formulations,1
Pediatric Pain,1
Environmental governance,1
Tree (set theory),1
Environmental Forces,1
Pejorative,1
Penal code,1
Environmental Ethics,1
Arnoldi iteration,1
Triage Criteria,1
Penny,1
Perfection,1
Environmental Benefits,1
Triage Systems,1
Peri,1
Enterprise Performance,1
Permission,1
Permission Analysis,1
Perpetuity,1
Enslaved Africans,1
Enlightenment,1
Personalization Paradox,1
Personal jurisdiction,1
Arms Trade,1
Tribe,1
Trigger Warnings,1
Pesticide Risk Assessment,1
Troubadours,1
Peyer's patch,1
Energy transition,1
Pharmaceutical Innovation,1
Pharmaceuticalization,1
Pharmacokinetic/Pharmacodynamic Modeling,1
Phenomenology,1
Energy supply,1
Energy Simulation,1
Energy security,1
Energy sector,1
Trust,1
Philosophy of Mathematics,1
Energy Modeling,1
Endowment,1
Photography,1
End-of-Life,1
Phylogenetic Analysis,1
Trusted Execution Environment,1
Endemism,1
Encyclopedism,1
Encephalopathy,1
Physician Participation,1
Physiological Monitoring,1
Physiology,1
Piety,1
Arms Control,1
Pika,1
Pillar,1
Enabling,1
Pinochet,1
Employment Relationship,1
Plage,1
Plant-Animal Interactions,1
Empirical legal studies,1
Trustworthiness,1
Empirical Analysis,1
empire and identity,1
Emotion Recognition,1
Emotional and Behavioral Problems,1
Emissions Trading,1
Eminent Domain,1
Armed conflict,1
Plug-in,1
Emerging technologies,1
Plurality,1
Pluripotent Stem Cells,1
Archipelago,1
Embryo Development,1
Turkish Literature,1
Police department,1
Emblem,1
Emancipation,1
Electronics,1
Policy Compliance,1
Policy Evaluation,1
Policy Implementation,1
Policy Instruments,1
Elder Mistreatment,1
Policy Responses,1
Elderly,1
Elasticity of Demand,1
Ekphrasis,1
Eider,1
Political Conflict,1
Effort-Reward Imbalance,1
Efficacy Evaluation,1
Effi,1
EEG Analysis,1
Political Institutions,1
Turkish republic,1
Political Participation,1
Educational Methods,1
Ecosystem Innovation,1
Economic partnership agreement,1
Political radicalism,1
Archaeoastronomy,1
Political theology,1
Economic Growth,1
Arab–Israeli conflict,1
Political transformations,1
Politics,1
Economic Evaluation,1
Arabic Bible Translations,1
Economic efficiency,1
Polygamy,1
Economic Crisis,1
Poor law,1
Workforce Agility,1
Popular sovereignty,1
Population Health,1
Population Pharmacokinetics,1
Aquatic Environment,1
Populism,1
E-commerce Transactions,1
Port Development,1
Port Efficiency,1
Portfolio Diversification,1
Ecological Wisdom,1
TypeScript,1
Positional Asphyxia,1
Ecological Protection,1
Positive law,1
Eco-efficiency,1
Post-Colonial Africa,1
Post-colonial Hong Kong,1
Earth Construction,1
Aqua regia,1
Early modern period,1
Post hoc,1
Post-hoc analysis,1
Early Medieval Churches,1
Appropriation,1
Dynamics (music),1
Dynamic Safety Analysis,1
Post-war Spain,1
Power,1
Dry Needling,1
drug use,1
Pragmatic Borrowing,1
Drug Development Costs,1
Praise,1
Dross,1
Precarious Employment,1
"3D Scanning",1
Precedent,1
Precept,1
Predestination,1
Predictability,1
Ultra-Processed Foods,1
Predictive analytics,1
Predictive Processes,1
Predictive Process Monitoring,1
Drone,1
Prejudice (legal term),1
Driver Assistance,1
Ultrasonic Testing,1
Download,1
Presentation (obstetrics),1
Presidency,1
Double-Balloon Enteroscopy,1
Applied Ethnomusicology,1
Doors,1
Umbilical Cord Care,1
Applications,1
Prevention Guidelines,1
Unbundling,1
Preventive detention,1
Preventive Services,1
Domestic Work,1
Price discrimination,1
Domain name,1
Primary (astronomy),1
Primary authority,1
Work–life balance,1
Primary School Education,1
Adolescent Behavior,1
Primordium,1
Document Image Analysis,1
Documentary evidence,1
Documentary Credits,1
Divine law,1
Distributed Systems,1
Distillation,1
Privacy Preservation,1
Adaptation,1
Distancing,1
Dissenting opinion,1
Private education,1
Private Equity,1
Private Forest Ownership,1
Private good,1
Dissent,1
Uneven and Combined Development,1
Private school,1
Private Tutoring,1
Privatized Military Industry,1
Probable cause,1
Probate,1
Disposition,1
Dispose pattern,1
Procession,1
Proclamation,1
Dispersive Liquid-Liquid Microextraction,1
Productivity,1
Antitrust Policy,1
Professional Competencies,1
Disparate impact,1
Disintermediation,1
Disclaimer,1
Professionalization,1
Anonymization,1
Discipline,1
Anonymity in Healthcare,1
Diplomatic Engagement,1
Prom,1
Promotion (chess),1
Anonymity,1
Proof of concept,1
Annexation,1
Diligence,1
Property Values,1
Digital Video Broadcasting,1
Digital Technologies,1
Annals,1
Digital Repositories,1
Digital Platforms,1
Prosopography,1
Prospective Memory,1
Digitalization in Education,1
Proto-Indo-European,1
Proximal Humerus Fractures,1
Digital Heritage,1
Workplace Bias,1
Digital Health,1
Prudence,1
Digital Engagement,1
Digital economy,1
Differential Privacy,1
Differential Cryptanalysis,1
Diet-Gene Interactions,1
Psychogenic Nonepileptic Seizures,1
Unity in diversity,1
Diaspora,1
Psychological Distress,1
Diagnostic Algorithm,1
Animal Research Reporting,1
Workplace Bullying,1
Psychological Resilience,1
Psychological Studies,1
Dewey,1
Developmental Trajectories,1
Psychological Treatment,1
Psychometric Evaluation,1
Detonation Propulsion,1
Anecdote,1
Detective Stories,1
Desert Agriculture,1
Psychotherapeutic Intervention,1
Public Action,1
Derogation,1
Dermal Remodeling,1
Action plan,1
Derivative (finance),1
Deregulation,1
Depression (economics),1
Unreliable Narration,1
Public life,1
Public management,1
Public Management Reform,1
Unrest,1
Depot,1
Public participation,1
Depiction,1
Demography,1
Public rights,1
Publics,1
Public Sector Decentralisation,1
Public space,1
Andreev reflection,1
Public Transit Integration,1
Public Use,1
Ancient Medicine,1
Demise,1
Demand-side Policies,1
Delusional Infestation,1
Q band,1
Qualitative,1
Deliberation,1
Delay Prediction,1
Quality Assessment,1
Déjà vu,1
Quantile,1
Quarter (Canadian coin),1
Queen (butterfly),1
Upper Extremity Development,1
Deflation,1
Urban Decline,1
Racial profiling,1
Radicalization,1
radioactive fallout,1
Radiological Protection,1
Radiologist Workload,1
Ancient DNA,1
Radiology Errors,1
RAID,1
De Facto States,1
Rainfall Triggering,1
Deep packet inspection,1
Rational Emotive Behavior Therapy,1
Ancient Architecture,1
Rationalization (economics),1
Urban Freight Transport,1
R&D Subsidies,1
Readability Assessment,1
Deep Learning for EEG,1
Decision-making,1
Real-Time PCR,1
Real-Time Pricing,1
Real-World Measurements,1
Accident Reconstruction,1
Reasonable suspicion,1
Decarbonization,1
Rebound Effect,1
Rebuttal,1
Reciprocal,1
Reciprocity (cultural anthropology),1
Reconfigurable Computing,1
Debris Flows,1
Records Management,1
Recycling,1
Urban Morphology,1
Redistribution (election),1
Anarchism,1
Urban Redevelopment,1
Refactoring,1
Referee Bias,1
Referendum,1
Daughter,1
Reflection (computer programming),1
Data Stream Management,1
Data Storage,1
Reform movement,1
Refugee crisis,1
